db,record_volume,query,iteration,time_in_seconds
arangodb,1024000,6,0,170.15018964899355
arangodb,1024000,6,1,86.9685400929884
arangodb,1024000,6,2,87.69238700100686
arangodb,1024000,6,3,86.84522323300189
arangodb,1024000,6,4,87.25090253099916
arangodb,1024000,6,5,86.75959334199433
arangodb,1024000,6,6,89.06040845600364
arangodb,1024000,6,7,86.69919296799344
arangodb,1024000,6,8,87.41425545199309
arangodb,1024000,6,9,87.85885141701146
arangodb,1024000,6,10,87.15126508800313
arangodb,1024000,6,11,86.59784747399681
arangodb,1024000,6,12,89.7990012490045
arangodb,1024000,6,13,86.80505158299638
arangodb,1024000,6,14,86.53375250099634
arangodb,1024000,6,15,86.26817900700553
arangodb,1024000,6,16,89.51451717900636
arangodb,1024000,6,17,85.16037040199444
arangodb,1024000,6,18,88.206758935994
arangodb,1024000,6,19,86.45767601700209
arangodb,1024000,7,0,135.1504922919994
arangodb,1024000,7,1,92.76525866499287
arangodb,1024000,7,2,95.88332212700334
arangodb,1024000,7,3,96.001023764009
arangodb,1024000,7,4,95.3687305850035
arangodb,1024000,7,5,96.21108449299936
arangodb,1024000,7,6,94.72614689699549
arangodb,1024000,7,7,94.92551876499783
arangodb,1024000,7,8,94.21988349199819
arangodb,1024000,7,9,95.35069069601013
arangodb,1024000,7,10,93.7799914520001
arangodb,1024000,7,11,94.21949872499681
arangodb,1024000,7,12,96.56886948300235
arangodb,1024000,7,13,95.68632016298943
arangodb,1024000,7,14,93.71594164299313
arangodb,1024000,7,15,95.70903240099142
arangodb,1024000,7,16,96.95433126400167
arangodb,1024000,7,17,93.43305069500639
arangodb,1024000,7,18,96.57251917000394
arangodb,1024000,7,19,97.7605263430014
arangodb,1024000,8,0,10.832339899003273
arangodb,1024000,8,1,11.493501228003879
arangodb,1024000,8,2,11.153309619010543
arangodb,1024000,8,3,11.455920771011733
arangodb,1024000,8,4,11.30682478500239
arangodb,1024000,8,5,11.395240245008608
arangodb,1024000,8,6,11.353475188006996
arangodb,1024000,8,7,11.22349390599993
arangodb,1024000,8,8,11.213460279002902
arangodb,1024000,8,9,11.8407798440021
arangodb,1024000,8,10,10.8689633810136
arangodb,1024000,8,11,11.563694946002215
arangodb,1024000,8,12,11.740106041004765
arangodb,1024000,8,13,11.934307349001756
arangodb,1024000,8,14,12.260841745010111
arangodb,1024000,8,15,11.38372932501079
arangodb,1024000,8,16,11.80524878599681
arangodb,1024000,8,17,11.576543806004338
arangodb,1024000,8,18,11.997768279004958
arangodb,1024000,8,19,11.770295553011238
