db,record_volume,query,iteration,time_in_seconds
arangodb,512000,1.1,0,0.35668806091416627
arangodb,512000,1.1,1,0.14038172410801053
arangodb,512000,1.1,2,0.13785240799188614
arangodb,512000,1.1,3,0.1383142810082063
arangodb,512000,1.1,4,0.13811231101863086
arangodb,512000,1.1,5,0.1380649129860103
arangodb,512000,1.1,6,0.1381147289648652
arangodb,512000,1.1,7,0.1377388440305367
arangodb,512000,1.1,8,0.13803519995417446
arangodb,512000,1.1,9,0.13800964201800525
arangodb,512000,1.1,10,0.13839949807152152
arangodb,512000,1.1,11,0.13815664104185998
arangodb,512000,1.1,12,0.13788766600191593
arangodb,512000,1.1,13,0.13868196692783386
arangodb,512000,1.1,14,0.13967121799942106
arangodb,512000,1.1,15,0.1394977190066129
arangodb,512000,1.1,16,0.13833336194511503
arangodb,512000,1.1,17,0.13750000798609108
arangodb,512000,1.1,18,0.13742649601772428
arangodb,512000,1.1,19,0.13655775098595768
arangodb,512000,1.2,0,1.067264623939991
arangodb,512000,1.2,1,0.595546537078917
arangodb,512000,1.2,2,0.5783050149912015
arangodb,512000,1.2,3,0.5872363490052521
arangodb,512000,1.2,4,0.5879923520842567
arangodb,512000,1.2,5,0.5799044660525396
arangodb,512000,1.2,6,0.5778279070509598
arangodb,512000,1.2,7,0.5758730539819226
arangodb,512000,1.2,8,0.5738354090135545
arangodb,512000,1.2,9,0.5793405640870333
arangodb,512000,1.2,10,0.5781649510608986
arangodb,512000,1.2,11,0.5756269328994676
arangodb,512000,1.2,12,0.5780598260462284
arangodb,512000,1.2,13,0.5819316080305725
arangodb,512000,1.2,14,0.5803747549653053
arangodb,512000,1.2,15,0.5818602890940383
arangodb,512000,1.2,16,0.5749683410394937
arangodb,512000,1.2,17,0.5727527709677815
arangodb,512000,1.2,18,0.579243395011872
arangodb,512000,1.2,19,0.5788290639175102
arangodb,512000,1.3,0,0.0008629349758848548
arangodb,512000,1.3,1,0.0004836509469896555
arangodb,512000,1.3,2,0.00043177406769245863
arangodb,512000,1.3,3,0.00039767101407051086
arangodb,512000,1.3,4,0.00039527693297713995
arangodb,512000,1.3,5,0.0004767149221152067
arangodb,512000,1.3,6,0.00025642092805355787
arangodb,512000,1.3,7,0.0002019429812207818
arangodb,512000,1.3,8,0.00016147899441421032
arangodb,512000,1.3,9,0.0001653518993407488
arangodb,512000,1.3,10,0.00016292999498546124
arangodb,512000,1.3,11,0.00019564200192689896
arangodb,512000,1.3,12,0.00015715707559138536
arangodb,512000,1.3,13,0.0001589319435879588
arangodb,512000,1.3,14,0.00015108706429600716
arangodb,512000,1.3,15,0.00015635904856026173
arangodb,512000,1.3,16,0.00016216398216784
arangodb,512000,1.3,17,0.00021148601081222296
arangodb,512000,1.3,18,0.00016231602057814598
arangodb,512000,1.3,19,0.00015639408957213163
arangodb,512000,1.4,0,0.5961589369690046
arangodb,512000,1.4,1,0.5757796469843015
arangodb,512000,1.4,2,0.5738945639459416
arangodb,512000,1.4,3,0.5874582519754767
arangodb,512000,1.4,4,0.5755504720145836
arangodb,512000,1.4,5,0.5738145060604438
arangodb,512000,1.4,6,0.575516982935369
arangodb,512000,1.4,7,0.574553870013915
arangodb,512000,1.4,8,0.5751431749667972
arangodb,512000,1.4,9,0.5746336010051891
arangodb,512000,1.4,10,0.5641224549617618
arangodb,512000,1.4,11,0.43402297410648316
arangodb,512000,1.4,12,0.43249838694464415
arangodb,512000,1.4,13,0.43246174801606685
arangodb,512000,1.4,14,0.43558469600975513
arangodb,512000,1.4,15,0.4354376330738887
arangodb,512000,1.4,16,0.4365685610100627
arangodb,512000,1.4,17,0.433323708944954
arangodb,512000,1.4,18,0.43400502507574856
arangodb,512000,1.4,19,0.4346372860018164
