db,record_volume,query,iteration,time_in_seconds
cassandra,1024000,10,1,0.002629
cassandra,1024000,10,2,0.000921
cassandra,1024000,10,3,0.001634
cassandra,1024000,10,4,0.001185
cassandra,1024000,10,5,0.001561
cassandra,1024000,10,6,0.001983
cassandra,1024000,10,7,0.001365
cassandra,1024000,10,8,0.000919
cassandra,1024000,10,9,0.001135
cassandra,1024000,10,10,0.001482
cassandra,1024000,10,11,0.001088
cassandra,1024000,10,12,0.001119
cassandra,1024000,10,13,0.001121
cassandra,1024000,10,14,0.000864
cassandra,1024000,10,15,0.000917
cassandra,1024000,10,16,0.000619
cassandra,1024000,10,17,0.001772
cassandra,1024000,10,18,0.000965
cassandra,1024000,10,19,0.00114
cassandra,1024000,10,20,0.002101
cassandra,1024000,1-1,1,3.776455
cassandra,1024000,1-1,2,3.691187
cassandra,1024000,1-1,3,3.694219
cassandra,1024000,1-1,4,3.668462
cassandra,1024000,1-1,5,3.374324
cassandra,1024000,1-1,6,3.662571
cassandra,1024000,1-1,7,3.346587
cassandra,1024000,1-1,8,3.481948
cassandra,1024000,1-1,9,3.627786
cassandra,1024000,1-1,10,3.685715
cassandra,1024000,1-1,11,3.643836
cassandra,1024000,1-1,12,3.653533
cassandra,1024000,1-1,13,3.191626
cassandra,1024000,1-1,14,3.676774
cassandra,1024000,1-1,15,3.669316
cassandra,1024000,1-1,16,3.66651
cassandra,1024000,1-1,17,3.686745
cassandra,1024000,1-1,18,3.638406
cassandra,1024000,1-1,19,3.686075
cassandra,1024000,1-1,20,3.236356
cassandra,1024000,11,1,0.002009
cassandra,1024000,11,2,0.001946
cassandra,1024000,11,3,0.002414
cassandra,1024000,11,4,0.001555
cassandra,1024000,11,5,0.002153
cassandra,1024000,11,6,0.002825
cassandra,1024000,11,7,0.002153
cassandra,1024000,11,8,0.001436
cassandra,1024000,11,9,0.002104
cassandra,1024000,11,10,0.001852
cassandra,1024000,11,11,0.001948
cassandra,1024000,11,12,0.002035
cassandra,1024000,11,13,0.00216
cassandra,1024000,11,14,0.001751
cassandra,1024000,11,15,0.001798
cassandra,1024000,11,16,0.001648
cassandra,1024000,11,17,0.001473
cassandra,1024000,11,18,0.001954
cassandra,1024000,11,19,0.001418
cassandra,1024000,11,20,0.001456
cassandra,1024000,1-2,1,0.010548
cassandra,1024000,1-2,2,0.005208
cassandra,1024000,1-2,3,0.009643
cassandra,1024000,1-2,4,0.009832
cassandra,1024000,1-2,5,0.005198
cassandra,1024000,1-2,6,0.0104
cassandra,1024000,1-2,7,0.008719
cassandra,1024000,1-2,8,0.007271
cassandra,1024000,1-2,9,0.003295
cassandra,1024000,1-2,10,0.010043
cassandra,1024000,1-2,11,0.009985
cassandra,1024000,1-2,12,0.009083
cassandra,1024000,1-2,13,0.008046
cassandra,1024000,1-2,14,0.006266
cassandra,1024000,1-2,15,0.008558
cassandra,1024000,1-2,16,0.010196
cassandra,1024000,1-2,17,0.008884
cassandra,1024000,1-2,18,0.008386
cassandra,1024000,1-2,19,0.007211
cassandra,1024000,1-2,20,0.005219
cassandra,1024000,1-3,1,0.00246
cassandra,1024000,1-3,2,0.000903
cassandra,1024000,1-3,3,0.00116
cassandra,1024000,1-3,4,0.000897
cassandra,1024000,1-3,5,0.001203
cassandra,1024000,1-3,6,0.00056
cassandra,1024000,1-3,7,0.001032
cassandra,1024000,1-3,8,0.001141
cassandra,1024000,1-3,9,0.001434
cassandra,1024000,1-3,10,0.001
cassandra,1024000,1-3,11,0.000762
cassandra,1024000,1-3,12,0.000767
cassandra,1024000,1-3,13,0.000983
cassandra,1024000,1-3,14,0.001266
cassandra,1024000,1-3,15,0.000479
cassandra,1024000,1-3,16,0.000921
cassandra,1024000,1-3,17,0.001163
cassandra,1024000,1-3,18,0.001146
cassandra,1024000,1-3,19,0.001149
cassandra,1024000,1-3,20,0.000957
cassandra,1024000,1-4,1,0.00725
cassandra,1024000,1-4,2,0.003156
cassandra,1024000,1-4,3,0.003109
cassandra,1024000,1-4,4,0.002494
cassandra,1024000,1-4,5,0.004926
cassandra,1024000,1-4,6,0.005396
cassandra,1024000,1-4,7,0.002358
cassandra,1024000,1-4,8,0.005876
cassandra,1024000,1-4,9,0.005703
cassandra,1024000,1-4,10,0.003938
cassandra,1024000,1-4,11,0.007347
cassandra,1024000,1-4,12,0.008247
cassandra,1024000,1-4,13,0.003197
cassandra,1024000,1-4,14,0.006859
cassandra,1024000,1-4,15,0.005238
cassandra,1024000,1-4,16,0.003167
cassandra,1024000,1-4,17,0.005434
cassandra,1024000,1-4,18,0.002679
cassandra,1024000,1-4,19,0.002062
cassandra,1024000,1-4,20,0.002776
cassandra,1024000,2-1,1,0.010476
cassandra,1024000,2-1,2,0.011024
cassandra,1024000,2-1,3,0.010464
cassandra,1024000,2-1,4,0.01236
cassandra,1024000,2-1,5,0.009178
cassandra,1024000,2-1,6,0.009704
cassandra,1024000,2-1,7,0.007144
cassandra,1024000,2-1,8,0.011023
cassandra,1024000,2-1,9,0.008478
cassandra,1024000,2-1,10,0.010118
cassandra,1024000,2-1,11,0.007912
cassandra,1024000,2-1,12,0.020557
cassandra,1024000,2-1,13,0.011005
cassandra,1024000,2-1,14,0.008354
cassandra,1024000,2-1,15,0.007487
cassandra,1024000,2-1,16,0.00791
cassandra,1024000,2-1,17,0.009695
cassandra,1024000,2-1,18,0.008954
cassandra,1024000,2-1,19,0.007108
cassandra,1024000,2-1,20,0.009545
cassandra,1024000,2-2,1,0.008554
cassandra,1024000,2-2,2,0.010223
cassandra,1024000,2-2,3,0.007707
cassandra,1024000,2-2,4,0.010808
cassandra,1024000,2-2,5,0.008104
cassandra,1024000,2-2,6,0.008681
cassandra,1024000,2-2,7,0.010863
cassandra,1024000,2-2,8,0.018032
cassandra,1024000,2-2,9,0.009013
cassandra,1024000,2-2,10,0.008086
cassandra,1024000,2-2,11,0.012037
cassandra,1024000,2-2,12,0.008356
cassandra,1024000,2-2,13,0.011998
cassandra,1024000,2-2,14,0.012963
cassandra,1024000,2-2,15,0.011852
cassandra,1024000,2-2,16,0.006919
cassandra,1024000,2-2,17,0.011887
cassandra,1024000,2-2,18,0.011459
cassandra,1024000,2-2,19,0.008647
cassandra,1024000,2-2,20,0.009325
cassandra,1024000,3-2,1,0.003017
cassandra,1024000,3-2,2,0.003077
cassandra,1024000,3-2,3,0.002801
cassandra,1024000,3-2,4,0.002085
cassandra,1024000,3-2,5,0.002801
cassandra,1024000,3-2,6,0.003085
cassandra,1024000,3-2,7,0.002447
cassandra,1024000,3-2,8,0.003376
cassandra,1024000,3-2,9,0.001942
cassandra,1024000,3-2,10,0.002997
cassandra,1024000,3-2,11,0.002541
cassandra,1024000,3-2,12,0.00279
cassandra,1024000,3-2,13,0.002694
cassandra,1024000,3-2,14,0.003144
cassandra,1024000,3-2,15,0.001443
cassandra,1024000,3-2,16,0.001297
cassandra,1024000,3-2,17,0.003442
cassandra,1024000,3-2,18,0.002807
cassandra,1024000,3-2,19,0.0017
cassandra,1024000,3-2,20,0.002201
cassandra,1024000,3-3,1,0.004392
cassandra,1024000,3-3,2,0.00556
cassandra,1024000,3-3,3,0.006571
cassandra,1024000,3-3,4,0.00594
cassandra,1024000,3-3,5,0.006807
cassandra,1024000,3-3,6,0.007034
cassandra,1024000,3-3,7,0.006922
cassandra,1024000,3-3,8,0.006132
cassandra,1024000,3-3,9,0.003981
cassandra,1024000,3-3,10,0.007055
cassandra,1024000,3-3,11,0.006429
cassandra,1024000,3-3,12,0.002397
cassandra,1024000,3-3,13,0.00697
cassandra,1024000,3-3,14,0.004892
cassandra,1024000,3-3,15,0.006898
cassandra,1024000,3-3,16,0.00625
cassandra,1024000,3-3,17,0.006366
cassandra,1024000,3-3,18,0.007368
cassandra,1024000,3-3,19,0.005003
cassandra,1024000,3-3,20,0.004089
cassandra,1024000,3-4,1,0.005155
cassandra,1024000,3-4,2,0.005
cassandra,1024000,3-4,3,0.00408
cassandra,1024000,3-4,4,0.002144
cassandra,1024000,3-4,5,0.001769
cassandra,1024000,3-4,6,0.004606
cassandra,1024000,3-4,7,0.002581
cassandra,1024000,3-4,8,0.003202
cassandra,1024000,3-4,9,0.004552
cassandra,1024000,3-4,10,0.00323
cassandra,1024000,3-4,11,0.004431
cassandra,1024000,3-4,12,0.00155
cassandra,1024000,3-4,13,0.003026
cassandra,1024000,3-4,14,0.003536
cassandra,1024000,3-4,15,0.004798
cassandra,1024000,3-4,16,0.003804
cassandra,1024000,3-4,17,0.002059
cassandra,1024000,3-4,18,0.003878
cassandra,1024000,3-4,19,0.004326
cassandra,1024000,3-4,20,0.005263
cassandra,1024000,5,1,0.003586
cassandra,1024000,5,2,0.004269
cassandra,1024000,5,3,0.004927
cassandra,1024000,5,4,0.004813
cassandra,1024000,5,5,0.004005
cassandra,1024000,5,6,0.002287
cassandra,1024000,5,7,0.004743
cassandra,1024000,5,8,0.004319
cassandra,1024000,5,9,0.002616
cassandra,1024000,5,10,0.001525
cassandra,1024000,5,11,0.004047
cassandra,1024000,5,12,0.003889
cassandra,1024000,5,13,0.001999
cassandra,1024000,5,14,0.005438
cassandra,1024000,5,15,0.004661
cassandra,1024000,5,16,0.004693
cassandra,1024000,5,17,0.002534
cassandra,1024000,5,18,0.00303
cassandra,1024000,5,19,0.004856
cassandra,1024000,5,20,0.002371
cassandra,1024000,6,1,0.002527
cassandra,1024000,6,2,0.001954
cassandra,1024000,6,3,0.003328
cassandra,1024000,6,4,0.003643
cassandra,1024000,6,5,0.003862
cassandra,1024000,6,6,0.001532
cassandra,1024000,6,7,0.001612
cassandra,1024000,6,8,0.002662
cassandra,1024000,6,9,0.003428
cassandra,1024000,6,10,0.002885
cassandra,1024000,6,11,0.003908
cassandra,1024000,6,12,0.003297
cassandra,1024000,6,13,0.003085
cassandra,1024000,6,14,0.002379
cassandra,1024000,6,15,0.003278
cassandra,1024000,6,16,0.001489
cassandra,1024000,6,17,0.002817
cassandra,1024000,6,18,0.002214
cassandra,1024000,6,19,0.001546
cassandra,1024000,6,20,0.003263
cassandra,1024000,7,1,0.002483
cassandra,1024000,7,2,0.001568
cassandra,1024000,7,3,0.002358
cassandra,1024000,7,4,0.004155
cassandra,1024000,7,5,0.002759
cassandra,1024000,7,6,0.003757
cassandra,1024000,7,7,0.003415
cassandra,1024000,7,8,0.003099
cassandra,1024000,7,9,0.002429
cassandra,1024000,7,10,0.001648
cassandra,1024000,7,11,0.002591
cassandra,1024000,7,12,0.002712
cassandra,1024000,7,13,0.002246
cassandra,1024000,7,14,0.00452
cassandra,1024000,7,15,0.001737
cassandra,1024000,7,16,0.003988
cassandra,1024000,7,17,0.003056
cassandra,1024000,7,18,0.001841
cassandra,1024000,7,19,0.002909
cassandra,1024000,7,20,0.001932
cassandra,1024000,8,1,0.010813
cassandra,1024000,8,2,0.0109
cassandra,1024000,8,3,0.00836
cassandra,1024000,8,4,0.014791
cassandra,1024000,8,5,0.011701
cassandra,1024000,8,6,0.013084
cassandra,1024000,8,7,0.012725
cassandra,1024000,8,8,0.014879
cassandra,1024000,8,9,0.007102
cassandra,1024000,8,10,0.014254
cassandra,1024000,8,11,0.012641
cassandra,1024000,8,12,0.016002
cassandra,1024000,8,13,0.011226
cassandra,1024000,8,14,0.012088
cassandra,1024000,8,15,0.00612
cassandra,1024000,8,16,0.008145
cassandra,1024000,8,17,0.006682
cassandra,1024000,8,18,0.014589
cassandra,1024000,8,19,0.017767
cassandra,1024000,8,20,0.015101
cassandra,1024000,9-2,1,0.001893
cassandra,1024000,9-2,2,0.002519
cassandra,1024000,9-2,3,0.00276
cassandra,1024000,9-2,4,0.002549
cassandra,1024000,9-2,5,0.003298
cassandra,1024000,9-2,6,0.002194
cassandra,1024000,9-2,7,0.003852
cassandra,1024000,9-2,8,0.003775
cassandra,1024000,9-2,9,0.003765
cassandra,1024000,9-2,10,0.0027
cassandra,1024000,9-2,11,0.003326
cassandra,1024000,9-2,12,0.002941
cassandra,1024000,9-2,13,0.002669
cassandra,1024000,9-2,14,0.003408
cassandra,1024000,9-2,15,0.003114
cassandra,1024000,9-2,16,0.00182
cassandra,1024000,9-2,17,0.001939
cassandra,1024000,9-2,18,0.003948
cassandra,1024000,9-2,19,0.001888
cassandra,1024000,9-2,20,0.001765
