db,record_volume,query,iteration,time_in_seconds
cassandra,512000,10,1,0.000785
cassandra,512000,10,2,0.000573
cassandra,512000,10,3,0.001048
cassandra,512000,10,4,0.001777
cassandra,512000,10,5,0.000615
cassandra,512000,10,6,0.001188
cassandra,512000,10,7,0.001044
cassandra,512000,10,8,0.001052
cassandra,512000,10,9,0.000535
cassandra,512000,10,10,0.000777
cassandra,512000,10,11,0.000632
cassandra,512000,10,12,0.001289
cassandra,512000,10,13,0.000603
cassandra,512000,10,14,0.00128
cassandra,512000,10,15,0.000849
cassandra,512000,10,16,0.001076
cassandra,512000,10,17,0.00058
cassandra,512000,10,18,0.00103
cassandra,512000,10,19,0.001124
cassandra,512000,10,20,0.000998
cassandra,512000,1-1,1,1.968582
cassandra,512000,1-1,2,1.88192
cassandra,512000,1-1,3,1.838183
cassandra,512000,1-1,4,1.824929
cassandra,512000,1-1,5,1.852384
cassandra,512000,1-1,6,1.837221
cassandra,512000,1-1,7,1.874731
cassandra,512000,1-1,8,1.830623
cassandra,512000,1-1,9,1.865931
cassandra,512000,1-1,10,1.828265
cassandra,512000,1-1,11,1.85679
cassandra,512000,1-1,12,1.828626
cassandra,512000,1-1,13,1.850946
cassandra,512000,1-1,14,1.873796
cassandra,512000,1-1,15,1.881697
cassandra,512000,1-1,16,1.859957
cassandra,512000,1-1,17,1.839537
cassandra,512000,1-1,18,1.857709
cassandra,512000,1-1,19,1.846337
cassandra,512000,1-1,20,1.848463
cassandra,512000,11,1,0.004186
cassandra,512000,11,2,0.001669
cassandra,512000,11,3,0.001642
cassandra,512000,11,4,0.002336
cassandra,512000,11,5,0.001724
cassandra,512000,11,6,0.00347
cassandra,512000,11,7,0.001714
cassandra,512000,11,8,0.001886
cassandra,512000,11,9,0.001439
cassandra,512000,11,10,0.001418
cassandra,512000,11,11,0.001653
cassandra,512000,11,12,0.002236
cassandra,512000,11,13,0.002755
cassandra,512000,11,14,0.001346
cassandra,512000,11,15,0.002391
cassandra,512000,11,16,0.001703
cassandra,512000,11,17,0.002075
cassandra,512000,11,18,0.002144
cassandra,512000,11,19,0.00155
cassandra,512000,11,20,0.00215
cassandra,512000,1-2,1,0.004387
cassandra,512000,1-2,2,0.008765
cassandra,512000,1-2,3,0.004841
cassandra,512000,1-2,4,0.007438
cassandra,512000,1-2,5,0.00713
cassandra,512000,1-2,6,0.003847
cassandra,512000,1-2,7,0.003685
cassandra,512000,1-2,8,0.0037
cassandra,512000,1-2,9,0.004521
cassandra,512000,1-2,10,0.004382
cassandra,512000,1-2,11,0.007562
