db,record_volume,size_in_mb
sqlite,1000,1
sqlite,4000,5
sqlite,256000,333
sqlite,128000,167
sqlite,512000,451
sqlite,1024000,968
mysql,1000,2
mysql,128000,441
mysql,4000,10
mysql,256000,850
mysql,512000,1398
mysql,1024000,3005
neo4j,1000,4
neo4j,4000,14
neo4j,128000,494
neo4j,256000,923
neo4j,512000,1638
neo4j,1024000,3584
arangodb,1000,2
arangodb,4000,19
arangodb,128000,229
arangodb,256000,631
arangodb,512000,831
arangodb,1024000,1774
cassandra,1000,3
cassandra,4000,8
cassandra,128000,502
cassandra,256000,246
cassandra,512000,532
cassandra,1024000,3107
mongodb,1000,2
mongodb,4000,7
mongodb,128000,216
mongodb,256000,285
mongodb,512000,861
mongodb,1024000,1867
