H/W path           Device      Class      Description
=====================================================
                               system     VMware Virtual Platform
/0                             bus        440BX Desktop Reference Platform
/0/0                           memory     86KiB BIOS
/0/1                           processor  Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz
/0/1/0                         memory     16KiB L1 cache
/0/1/1                         memory     16KiB L1 cache
/0/2                           processor  CPU
/0/5                           processor  CPU
/0/5/1d                        memory     16KiB L1 cache
/0/6                           processor  CPU
/0/6/1e                        memory     16KiB L1 cache
/0/7                           processor  CPU
/0/7/1f                        memory     16KiB L1 cache
/0/8                           processor  CPU
/0/8/20                        memory     16KiB L1 cache
/0/9                           processor  CPU
/0/9/21                        memory     16KiB L1 cache
/0/a                           processor  CPU
/0/a/22                        memory     16KiB L1 cache
/0/3a                          memory     32GiB System Memory
/0/3a/0                        memory     16GiB DIMM DRAM EDO
/0/3a/1                        memory     16GiB DIMM DRAM EDO
/0/3a/2                        memory     DIMM DRAM [empty]
/0/3a/3                        memory     DIMM DRAM [empty]
/0/3a/4                        memory     DIMM DRAM [empty]
/0/3a/5                        memory     DIMM DRAM [empty]
/0/3a/6                        memory     DIMM DRAM [empty]
/0/3a/7                        memory     DIMM DRAM [empty]
/0/3a/8                        memory     DIMM DRAM [empty]
/0/3a/9                        memory     DIMM DRAM [empty]
/0/3a/a                        memory     DIMM DRAM [empty]
/0/3a/b                        memory     DIMM DRAM [empty]
/0/3a/c                        memory     DIMM DRAM [empty]
/0/3a/d                        memory     DIMM DRAM [empty]
/0/3a/e                        memory     DIMM DRAM [empty]
/0/3a/f                        memory     DIMM DRAM [empty]
/0/3a/10                       memory     DIMM DRAM [empty]
/0/3a/11                       memory     DIMM DRAM [empty]
/0/3a/12                       memory     DIMM DRAM [empty]
/0/3a/13                       memory     DIMM DRAM [empty]
/0/3a/14                       memory     DIMM DRAM [empty]
/0/3a/15                       memory     DIMM DRAM [empty]
/0/3a/16                       memory     DIMM DRAM [empty]
/0/3a/17                       memory     DIMM DRAM [empty]
/0/3a/18                       memory     DIMM DRAM [empty]
/0/3a/19                       memory     DIMM DRAM [empty]
/0/3a/1a                       memory     DIMM DRAM [empty]
/0/3a/1b                       memory     DIMM DRAM [empty]
/0/3a/1c                       memory     DIMM DRAM [empty]
/0/3a/1d                       memory     DIMM DRAM [empty]
/0/3a/1e                       memory     DIMM DRAM [empty]
/0/3a/1f                       memory     DIMM DRAM [empty]
/0/3a/20                       memory     DIMM DRAM [empty]
/0/3a/21                       memory     DIMM DRAM [empty]
/0/3a/22                       memory     DIMM DRAM [empty]
/0/3a/23                       memory     DIMM DRAM [empty]
/0/3a/24                       memory     DIMM DRAM [empty]
/0/3a/25                       memory     DIMM DRAM [empty]
/0/3a/26                       memory     DIMM DRAM [empty]
/0/3a/27                       memory     DIMM DRAM [empty]
/0/3a/28                       memory     DIMM DRAM [empty]
/0/3a/29                       memory     DIMM DRAM [empty]
/0/3a/2a                       memory     DIMM DRAM [empty]
/0/3a/2b                       memory     DIMM DRAM [empty]
/0/3a/2c                       memory     DIMM DRAM [empty]
/0/3a/2d                       memory     DIMM DRAM [empty]
/0/3a/2e                       memory     DIMM DRAM [empty]
/0/3a/2f                       memory     DIMM DRAM [empty]
/0/3a/30                       memory     DIMM DRAM [empty]
/0/3a/31                       memory     DIMM DRAM [empty]
/0/3a/32                       memory     DIMM DRAM [empty]
/0/3a/33                       memory     DIMM DRAM [empty]
/0/3a/34                       memory     DIMM DRAM [empty]
/0/3a/35                       memory     DIMM DRAM [empty]
/0/3a/36                       memory     DIMM DRAM [empty]
/0/3a/37                       memory     DIMM DRAM [empty]
/0/3a/38                       memory     DIMM DRAM [empty]
/0/3a/39                       memory     DIMM DRAM [empty]
/0/3a/3a                       memory     DIMM DRAM [empty]
/0/3a/3b                       memory     DIMM DRAM [empty]
/0/3a/3c                       memory     DIMM DRAM [empty]
/0/3a/3d                       memory     DIMM DRAM [empty]
/0/3a/3e                       memory     DIMM DRAM [empty]
/0/3a/3f                       memory     DIMM DRAM [empty]
/0/3a/40                       memory     DIMM [empty]
/0/3a/41                       memory     DIMM [empty]
