db,record_volume,query,iteration,time_in_seconds
sqlite,1000,1-1,0,0.001
sqlite,1000,1-1,1,0.001
sqlite,1000,1-1,2,0.001
sqlite,1000,1-1,3,0.001
sqlite,1000,1-1,4,0.001
sqlite,1000,1-1,5,0
sqlite,1000,1-1,6,0
sqlite,1000,1-1,7,0
sqlite,1000,1-1,8,0.001
sqlite,1000,1-1,9,0.001
sqlite,1000,1-1,10,0
sqlite,1000,1-1,11,0
sqlite,1000,1-1,12,0.001
sqlite,1000,1-1,13,0
sqlite,1000,1-1,14,0
sqlite,1000,1-1,15,0.001
sqlite,1000,1-1,16,0.001
sqlite,1000,1-1,17,0
sqlite,1000,1-1,18,0.001
sqlite,1000,1-1,19,0
sqlite,1000,1-2,0,0.001
sqlite,1000,1-2,1,0.001
sqlite,1000,1-2,2,0
sqlite,1000,1-2,3,0.001
sqlite,1000,1-2,4,0.001
sqlite,1000,1-2,5,0.001
sqlite,1000,1-2,6,0.002
sqlite,1000,1-2,7,0.001
sqlite,1000,1-2,8,0.002
sqlite,1000,1-2,9,0.001
sqlite,1000,1-2,10,0
sqlite,1000,1-2,11,0.002
sqlite,1000,1-2,12,0
sqlite,1000,1-2,13,0.002
sqlite,1000,1-2,14,0.001
sqlite,1000,1-2,15,0.001
sqlite,1000,1-2,16,0.001
sqlite,1000,1-2,17,0.002
sqlite,1000,1-2,18,0.002
sqlite,1000,1-2,19,0
sqlite,1000,1-3,0,0
sqlite,1000,1-3,1,0.001
sqlite,1000,1-3,2,0.001
sqlite,1000,1-3,3,0.001
sqlite,1000,1-3,4,0.001
sqlite,1000,1-3,5,0
sqlite,1000,1-3,6,0
sqlite,1000,1-3,7,0.001
sqlite,1000,1-3,8,0.001
sqlite,1000,1-3,9,0
sqlite,1000,1-3,10,0.001
sqlite,1000,1-3,11,0.001
sqlite,1000,1-3,12,0
sqlite,1000,1-3,13,0.001
sqlite,1000,1-3,14,0.001
sqlite,1000,1-3,15,0.001
sqlite,1000,1-3,16,0.001
sqlite,1000,1-3,17,0.001
sqlite,1000,1-3,18,0.001
sqlite,1000,1-3,19,0
sqlite,1000,1-4,0,0
sqlite,1000,1-4,1,0
sqlite,1000,1-4,2,0
sqlite,1000,1-4,3,0.001
sqlite,1000,1-4,4,0.001
sqlite,1000,1-4,5,0.001
sqlite,1000,1-4,6,0.002
sqlite,1000,1-4,7,0.001
sqlite,1000,1-4,8,0.001
sqlite,1000,1-4,9,0.002
sqlite,1000,1-4,10,0.001
sqlite,1000,1-4,11,0
sqlite,1000,1-4,12,0.001
sqlite,1000,1-4,13,0.002
sqlite,1000,1-4,14,0.001
sqlite,1000,1-4,15,0.001
sqlite,1000,1-4,16,0.001
sqlite,1000,1-4,17,0.001
sqlite,1000,1-4,18,0
sqlite,1000,1-4,19,0.001
sqlite,1000,10,0,0.01
sqlite,1000,10,1,0.013
sqlite,1000,10,2,0.007
sqlite,1000,10,3,0.006
sqlite,1000,10,4,0.009
sqlite,1000,10,5,0.008
sqlite,1000,10,6,0.012
sqlite,1000,10,7,0.014
sqlite,1000,10,8,0.009
sqlite,1000,10,9,0.006
sqlite,1000,10,10,0.013
sqlite,1000,10,11,0.006
sqlite,1000,10,12,0.008
sqlite,1000,10,13,0.012
sqlite,1000,10,14,0.009
sqlite,1000,10,15,0.012
sqlite,1000,10,16,0.009
sqlite,1000,10,17,0.013
sqlite,1000,10,18,0.009
sqlite,1000,10,19,0.006
sqlite,1000,11,0,0.001
sqlite,1000,11,1,0.003
sqlite,1000,11,2,0.004
