db,record_volume,query,iteration,time_in_seconds
mongodb,128000,1.1,0,0.109
mongodb,128000,1.1,1,0.064
mongodb,128000,1.1,2,0.057
mongodb,128000,1.1,3,0.058
mongodb,128000,1.1,4,0.065
mongodb,128000,1.1,5,0.057
mongodb,128000,1.1,6,0.057
mongodb,128000,1.1,7,0.06
mongodb,128000,1.1,8,0.062
mongodb,128000,1.1,9,0.059
mongodb,128000,1.1,10,0.063
mongodb,128000,1.1,11,0.057
mongodb,128000,1.1,12,0.064
mongodb,128000,1.1,13,0.056
mongodb,128000,1.1,14,0.057
mongodb,128000,1.1,15,0.056
mongodb,128000,1.1,16,0.056
mongodb,128000,1.1,17,0.055
mongodb,128000,1.1,18,0.055
mongodb,128000,1.1,19,0.055
mongodb,128000,1.2,0,0.094
mongodb,128000,1.2,1,0.085
mongodb,128000,1.2,2,0.057
mongodb,128000,1.2,3,0.056
mongodb,128000,1.2,4,0.058
mongodb,128000,1.2,5,0.056
mongodb,128000,1.2,6,0.059
mongodb,128000,1.2,7,0.056
mongodb,128000,1.2,8,0.057
mongodb,128000,1.2,9,0.055
mongodb,128000,1.2,10,0.055
mongodb,128000,1.2,11,0.055
mongodb,128000,1.2,12,0.057
mongodb,128000,1.2,13,0.055
mongodb,128000,1.2,14,0.055
mongodb,128000,1.2,15,0.06
mongodb,128000,1.2,16,0.055
mongodb,128000,1.2,17,0.055
mongodb,128000,1.2,18,0.056
mongodb,128000,1.2,19,0.06
mongodb,128000,1.3,0,0.021
mongodb,128000,1.3,1,0
mongodb,128000,1.3,2,0
mongodb,128000,1.3,3,0
mongodb,128000,1.3,4,0
mongodb,128000,1.3,5,0
mongodb,128000,1.3,6,0
mongodb,128000,1.3,7,0
mongodb,128000,1.3,8,0
mongodb,128000,1.3,9,0
mongodb,128000,1.3,10,0
mongodb,128000,1.3,11,0
mongodb,128000,1.3,12,0
mongodb,128000,1.3,13,0
mongodb,128000,1.3,14,0
mongodb,128000,1.3,15,0
mongodb,128000,1.3,16,0
mongodb,128000,1.3,17,0
mongodb,128000,1.3,18,0
mongodb,128000,1.3,19,0
mongodb,128000,1.4,0,0.078
mongodb,128000,1.4,1,0.056
mongodb,128000,1.4,2,0.058
mongodb,128000,1.4,3,0.066
mongodb,128000,1.4,4,0.057
mongodb,128000,1.4,5,0.056
mongodb,128000,1.4,6,0.06
mongodb,128000,1.4,7,0.06
mongodb,128000,1.4,8,0.056
mongodb,128000,1.4,9,0.057
mongodb,128000,1.4,10,0.056
mongodb,128000,1.4,11,0.056
mongodb,128000,1.4,12,0.056
mongodb,128000,1.4,13,0.055
mongodb,128000,1.4,14,0.059
mongodb,128000,1.4,15,0.056
mongodb,128000,1.4,16,0.056
mongodb,128000,1.4,17,0.066
mongodb,128000,1.4,18,0.058
mongodb,128000,1.4,19,0.056
mongodb,128000,2.1,0,0.252
mongodb,128000,2.1,1,0.094
mongodb,128000,2.1,2,0.094
mongodb,128000,2.1,3,0.094
mongodb,128000,2.1,4,0.094
mongodb,128000,2.1,5,0.1
mongodb,128000,2.1,6,0.099
mongodb,128000,2.1,7,0.093
mongodb,128000,2.1,8,0.094
mongodb,128000,2.1,9,0.096
mongodb,128000,2.1,10,0.101
mongodb,128000,2.1,11,0.098
mongodb,128000,2.1,12,0.102
mongodb,128000,2.1,13,0.097
mongodb,128000,2.1,14,0.096
mongodb,128000,2.1,15,0.095
mongodb,128000,2.1,16,0.096
mongodb,128000,2.1,17,0.095
mongodb,128000,2.1,18,0.095
mongodb,128000,2.1,19,0.096
mongodb,128000,2.2,0,0.138
mongodb,128000,2.2,1,0.134
mongodb,128000,2.2,2,0.134
mongodb,128000,2.2,3,0.14
mongodb,128000,2.2,4,0.139
mongodb,128000,2.2,5,0.136
mongodb,128000,2.2,6,0.134
mongodb,128000,2.2,7,0.135
mongodb,128000,2.2,8,0.135
mongodb,128000,2.2,9,0.138
mongodb,128000,2.2,10,0.14
mongodb,128000,2.2,11,0.138
mongodb,128000,2.2,12,0.138
mongodb,128000,2.2,13,0.141
mongodb,128000,2.2,14,0.14
mongodb,128000,2.2,15,0.136
mongodb,128000,2.2,16,0.134
mongodb,128000,2.2,17,0.134
mongodb,128000,2.2,18,0.134
mongodb,128000,2.2,19,0.137
mongodb,128000,3.1,-1,-1
mongodb,128000,3.2,0,0.069
mongodb,128000,3.2,1,0.063
mongodb,128000,3.2,2,0.059
mongodb,128000,3.2,3,0.059
mongodb,128000,3.2,4,0.064
mongodb,128000,3.2,5,0.06
mongodb,128000,3.2,6,0.058
mongodb,128000,3.2,7,0.059
mongodb,128000,3.2,8,0.062
mongodb,128000,3.2,9,0.061
mongodb,128000,3.2,10,0.059
mongodb,128000,3.2,11,0.06
mongodb,128000,3.2,12,0.057
mongodb,128000,3.2,13,0.059
mongodb,128000,3.2,14,0.06
mongodb,128000,3.2,15,0.059
mongodb,128000,3.2,16,0.058
mongodb,128000,3.2,17,0.063
mongodb,128000,3.2,18,0.058
mongodb,128000,3.2,19,0.056
mongodb,128000,3.3,-1,-1
mongodb,128000,3.4,0,5.559
mongodb,128000,3.4,1,5.197
mongodb,128000,3.4,2,5.132
mongodb,128000,3.4,3,5.184
mongodb,128000,3.4,4,5.256
mongodb,128000,3.4,5,5.218
mongodb,128000,3.4,6,5.229
mongodb,128000,3.4,7,5.154
mongodb,128000,3.4,8,5.211
mongodb,128000,3.4,9,5.188
mongodb,128000,3.4,10,5.218
mongodb,128000,3.4,11,5.208
mongodb,128000,3.4,12,5.206
mongodb,128000,3.4,13,5.212
mongodb,128000,3.4,14,5.228
mongodb,128000,3.4,15,5.235
mongodb,128000,3.4,16,5.25
mongodb,128000,3.4,17,5.22
mongodb,128000,3.4,18,5.161
mongodb,128000,3.4,19,5.948
mongodb,128000,4.1,-1,-1
mongodb,128000,4.2,0,128.226
mongodb,128000,4.2,1,126.733
mongodb,128000,4.2,2,124.408
mongodb,128000,4.2,3,118.821
mongodb,128000,4.2,4,119.26
mongodb,128000,4.2,5,119.008
mongodb,128000,4.2,6,117.236
mongodb,128000,4.2,7,125.658
mongodb,128000,4.2,8,126.139
mongodb,128000,4.2,9,119.295
mongodb,128000,4.2,10,121.633
mongodb,128000,4.2,11,126.698
mongodb,128000,4.2,12,127.606
mongodb,128000,4.2,13,129.495
mongodb,128000,4.2,14,122.625
mongodb,128000,4.2,15,119.063
mongodb,128000,4.2,16,118.302
mongodb,128000,4.2,17,116.501
mongodb,128000,4.2,18,128.092
mongodb,128000,4.2,19,118.57
mongodb,128000,5,0,0.203
mongodb,128000,5,1,0.199
mongodb,128000,5,2,0.195
mongodb,128000,5,3,0.197
mongodb,128000,5,4,0.198
mongodb,128000,5,5,0.203
mongodb,128000,5,6,0.261
mongodb,128000,5,7,0.258
mongodb,128000,5,8,0.262
mongodb,128000,5,9,0.265
mongodb,128000,5,10,0.263
mongodb,128000,5,11,0.266
mongodb,128000,5,12,0.258
mongodb,128000,5,13,0.262
mongodb,128000,5,14,0.265
mongodb,128000,5,15,0.258
mongodb,128000,5,16,0.262
mongodb,128000,5,17,0.259
mongodb,128000,5,18,0.264
mongodb,128000,5,19,0.257
mongodb,128000,6,0,3.9
mongodb,128000,6,1,2.975
mongodb,128000,6,2,2.975
mongodb,128000,6,3,2.966
mongodb,128000,6,4,2.98
mongodb,128000,6,5,2.977
mongodb,128000,6,6,2.968
mongodb,128000,6,7,3.749
mongodb,128000,6,8,2.935
mongodb,128000,6,9,2.941
mongodb,128000,6,10,2.937
mongodb,128000,6,11,3.815
mongodb,128000,6,12,2.989
mongodb,128000,6,13,2.974
mongodb,128000,6,14,2.977
mongodb,128000,6,15,3.003
mongodb,128000,6,16,3.611
mongodb,128000,6,17,2.965
mongodb,128000,6,18,2.952
mongodb,128000,6,19,2.95
mongodb,128000,7,0,0.134
mongodb,128000,7,1,0.126
mongodb,128000,7,2,0.125
mongodb,128000,7,3,0.125
mongodb,128000,7,4,0.125
mongodb,128000,7,5,0.125
mongodb,128000,7,6,0.126
mongodb,128000,7,7,0.126
mongodb,128000,7,8,0.125
mongodb,128000,7,9,0.126
mongodb,128000,7,10,0.125
mongodb,128000,7,11,0.125
mongodb,128000,7,12,0.125
mongodb,128000,7,13,0.131
mongodb,128000,7,14,0.131
mongodb,128000,7,15,0.132
mongodb,128000,7,16,0.132
mongodb,128000,7,17,0.132
mongodb,128000,7,18,0.129
mongodb,128000,7,19,0.129
mongodb,128000,8.1,-1,-1
mongodb,128000,8.2,0,0.057
mongodb,128000,8.2,1,0.048
mongodb,128000,8.2,2,0.047
mongodb,128000,8.2,3,0.047
mongodb,128000,8.2,4,0.047
mongodb,128000,8.2,5,0.05
mongodb,128000,8.2,6,0.05
mongodb,128000,8.2,7,0.046
mongodb,128000,8.2,8,0.05
mongodb,128000,8.2,9,0.048
mongodb,128000,8.2,10,0.047
mongodb,128000,8.2,11,0.054
mongodb,128000,8.2,12,0.047
mongodb,128000,8.2,13,0.046
mongodb,128000,8.2,14,0.051
mongodb,128000,8.2,15,0.049
mongodb,128000,8.2,16,0.047
mongodb,128000,8.2,17,0.049
mongodb,128000,8.2,18,0.047
mongodb,128000,8.2,19,0.047
mongodb,128000,9.1,0,0.36
mongodb,128000,9.1,1,0.185
mongodb,128000,9.1,2,0.187
mongodb,128000,9.1,3,0.184
mongodb,128000,9.1,4,0.191
mongodb,128000,9.1,5,0.185
mongodb,128000,9.1,6,0.184
mongodb,128000,9.1,7,0.186
mongodb,128000,9.1,8,0.184
mongodb,128000,9.1,9,0.19
mongodb,128000,9.1,10,0.188
mongodb,128000,9.1,11,0.185
mongodb,128000,9.1,12,0.185
mongodb,128000,9.1,13,0.187
mongodb,128000,9.1,14,0.186
mongodb,128000,9.1,15,0.184
mongodb,128000,9.1,16,0.186
mongodb,128000,9.1,17,0.186
mongodb,128000,9.1,18,0.188
mongodb,128000,9.1,19,0.188
mongodb,128000,9.2,0,0.132
mongodb,128000,9.2,1,0.136
mongodb,128000,9.2,2,0.132
mongodb,128000,9.2,3,0.131
mongodb,128000,9.2,4,0.132
mongodb,128000,9.2,5,0.131
mongodb,128000,9.2,6,0.129
mongodb,128000,9.2,7,0.129
mongodb,128000,9.2,8,0.133
mongodb,128000,9.2,9,0.131
mongodb,128000,9.2,10,0.13
mongodb,128000,9.2,11,0.131
mongodb,128000,9.2,12,0.13
mongodb,128000,9.2,13,0.131
mongodb,128000,9.2,14,0.131
mongodb,128000,9.2,15,0.132
mongodb,128000,9.2,16,0.132
mongodb,128000,9.2,17,0.178
mongodb,128000,9.2,18,0.17
mongodb,128000,9.2,19,0.168
mongodb,128000,10,0,2.431
mongodb,128000,10,1,1.783
mongodb,128000,10,2,1.424
mongodb,128000,10,3,1.417
mongodb,128000,10,4,1.429
mongodb,128000,10,5,1.487
mongodb,128000,10,6,1.413
mongodb,128000,10,7,1.418
mongodb,128000,10,8,1.418
mongodb,128000,10,9,1.433
mongodb,128000,10,10,1.445
mongodb,128000,10,11,1.42
mongodb,128000,10,12,1.424
mongodb,128000,10,13,1.463
mongodb,128000,10,14,1.443
mongodb,128000,10,15,1.416
mongodb,128000,10,16,1.426
mongodb,128000,10,17,1.407
mongodb,128000,10,18,1.429
mongodb,128000,10,19,2.15
mongodb,128000,11,0,0.276
mongodb,128000,11,1,0.214
mongodb,128000,11,2,0.223
mongodb,128000,11,3,0.221
mongodb,128000,11,4,0.223
mongodb,128000,11,5,0.233
mongodb,128000,11,6,0.216
mongodb,128000,11,7,0.226
mongodb,128000,11,8,0.223
mongodb,128000,11,9,0.242
mongodb,128000,11,10,0.231
mongodb,128000,11,11,0.229
mongodb,128000,11,12,0.231
mongodb,128000,11,13,0.238
mongodb,128000,11,14,0.236
mongodb,128000,11,15,0.237
mongodb,128000,11,16,0.229
mongodb,128000,11,17,0.238
mongodb,128000,11,18,0.231
mongodb,128000,11,19,0.237
