[2024-04-22 18:21:09] Query testing started
[2024-04-22T18:21:16.145Z]	Started testing query 1.1
[2024-04-22T18:21:24.394Z]	Finished testing query 1.1
[2024-04-22T18:21:24.533Z]	Started testing query 1.2
[2024-04-22T18:21:34.024Z]	Finished testing query 1.2
[2024-04-22T18:21:34.025Z]	Started testing query 1.3
[2024-04-22T18:21:34.101Z]	Finished testing query 1.3
[2024-04-22T18:21:36.299Z]	Started testing query 1.4
[2024-04-22T18:21:50.149Z]	Finished testing query 1.4
[2024-04-22T18:21:50.150Z]	Started testing query 2.1
[2024-04-22T18:22:00.668Z]	Finished testing query 2.1
[2024-04-22T18:22:00.669Z]	Started testing query 2.2
[2024-04-22T18:22:14.263Z]	Finished testing query 2.2
[2024-04-22T18:22:14.264Z]	Started testing query 3.1
[2024-04-22T18:22:15.168Z]	MongoServerError: Used too much memory for a single array. Memory limit: 104857600 bytes. The array contains 186039 elements and is of size 104857134 bytes. The element being added has size 554 bytes.
[2024-04-22T18:22:15.169Z]	Finished testing query 3.1
[2024-04-22T18:22:15.171Z]	Started testing query 3.2
[2024-04-22T18:22:21.274Z]	Finished testing query 3.2
[2024-04-22T18:22:21.275Z]	Started testing query 3.3
[2024-04-22T18:27:21.288Z]	Timeout reached, killing long running operations...
[2024-04-22T18:27:21.391Z]	Killing opId: 157073 running for over secs: 300
Uncaught Error: Timeout reached
[2024-04-22T18:27:21.656Z]	MongoServerError: operation was interrupted
[2024-04-22T18:27:21.656Z]	Finished testing query 3.3
[2024-04-22T18:27:21.656Z]	Started testing query 3.4
[2024-04-22T18:42:08.253Z]	Finished testing query 3.4
[2024-04-22T18:42:08.253Z]	Started testing query 4.1
[2024-04-22T18:47:08.258Z]	Timeout reached, killing long running operations...
[2024-04-22T18:47:08.269Z]	Killing opId: 171984 running for over secs: 300
Uncaught Error: Timeout reached
[2024-04-22T18:47:08.710Z]	MongoServerError: operation was interrupted
[2024-04-22T18:47:08.711Z]	Finished testing query 4.1
[2024-04-22T18:47:08.711Z]	Started testing query 4.2
[2024-04-22T18:52:08.717Z]	Timeout reached, killing long running operations...
[2024-04-22T18:52:08.727Z]	Killing opId: 175750 running for over secs: 300
Uncaught Error: Timeout reached
[2024-04-22T18:52:09.291Z]	MongoServerError: operation was interrupted
[2024-04-22T18:52:09.292Z]	Finished testing query 4.2
[2024-04-22T18:52:09.292Z]	Started testing query 5
[2024-04-22T18:52:45.048Z]	Finished testing query 5
[2024-04-22T18:52:45.049Z]	Started testing query 6
[2024-04-22T19:06:03.364Z]	Finished testing query 6
[2024-04-22T19:06:03.365Z]	Started testing query 7
[2024-04-22T19:06:25.055Z]	Finished testing query 7
[2024-04-22T19:06:25.056Z]	Started testing query 8.1
[2024-04-22T19:11:25.066Z]	Timeout reached, killing long running operations...
[2024-04-22T19:11:25.075Z]	Killing opId: 190375 running for over secs: 300
Uncaught Error: Timeout reached
[2024-04-22T19:11:25.078Z]	MongoServerError: operation was interrupted
[2024-04-22T19:11:25.078Z]	Finished testing query 8.1
[2024-04-22T19:11:25.078Z]	Started testing query 8.2
[2024-04-22T19:11:34.060Z]	Finished testing query 8.2
[2024-04-22T19:11:34.061Z]	Started testing query 9.1
[2024-04-22T19:12:29.362Z]	Finished testing query 9.1
[2024-04-22T19:12:29.362Z]	Started testing query 9.2
[2024-04-22T19:12:48.526Z]	Finished testing query 9.2
[2024-04-22T19:12:48.527Z]	Started testing query 10
[2024-04-22T19:13:34.514Z]	Finished testing query 10
[2024-04-22T19:13:34.515Z]	Started testing query 11
[2024-04-22T19:14:18.276Z]	Finished testing query 11
[2024-04-22 19:14:18] Query testing finished
