db,record_volume,query,iteration,time_in_seconds
mongodb,1024000,1-1,0,0.45
mongodb,1024000,1-1,1,0.394
mongodb,1024000,1-1,2,0.398
mongodb,1024000,1-1,3,0.394
mongodb,1024000,1-1,4,0.399
mongodb,1024000,1-1,5,0.403
mongodb,1024000,1-1,6,0.398
mongodb,1024000,1-1,7,0.399
mongodb,1024000,1-1,8,0.398
mongodb,1024000,1-1,9,0.401
mongodb,1024000,1-1,10,0.4
mongodb,1024000,1-1,11,0.401
mongodb,1024000,1-1,12,0.402
mongodb,1024000,1-1,13,0.412
mongodb,1024000,1-1,14,0.409
mongodb,1024000,1-1,15,0.402
mongodb,1024000,1-1,16,0.394
mongodb,1024000,1-1,17,0.397
mongodb,1024000,1-1,18,0.399
mongodb,1024000,1-1,19,0.398
mongodb,1024000,1-2,0,0.526
mongodb,1024000,1-2,1,0.464
mongodb,1024000,1-2,2,0.475
mongodb,1024000,1-2,3,0.477
mongodb,1024000,1-2,4,0.477
mongodb,1024000,1-2,5,0.474
mongodb,1024000,1-2,6,0.479
mongodb,1024000,1-2,7,0.476
mongodb,1024000,1-2,8,0.463
mongodb,1024000,1-2,9,0.469
mongodb,1024000,1-2,10,0.465
mongodb,1024000,1-2,11,0.462
mongodb,1024000,1-2,12,0.47
mongodb,1024000,1-2,13,0.468
mongodb,1024000,1-2,14,0.471
mongodb,1024000,1-2,15,0.463
mongodb,1024000,1-2,16,0.472
mongodb,1024000,1-2,17,0.433
mongodb,1024000,1-2,18,0.352
mongodb,1024000,1-2,19,0.467
mongodb,1024000,1-3,0,0
mongodb,1024000,1-3,1,0
mongodb,1024000,1-3,2,0
mongodb,1024000,1-3,3,0
mongodb,1024000,1-3,4,0
mongodb,1024000,1-3,5,0
mongodb,1024000,1-3,6,0
mongodb,1024000,1-3,7,0
mongodb,1024000,1-3,8,0
mongodb,1024000,1-3,9,0
mongodb,1024000,1-3,10,0
mongodb,1024000,1-3,11,0
mongodb,1024000,1-3,12,0
mongodb,1024000,1-3,13,0
mongodb,1024000,1-3,14,0
mongodb,1024000,1-3,15,0
mongodb,1024000,1-3,16,0
mongodb,1024000,1-3,17,0
mongodb,1024000,1-3,18,0
mongodb,1024000,1-3,19,0
mongodb,1024000,1-4,0,0.726
mongodb,1024000,1-4,1,0.716
mongodb,1024000,1-4,2,0.68
mongodb,1024000,1-4,3,0.69
mongodb,1024000,1-4,4,0.676
mongodb,1024000,1-4,5,0.682
mongodb,1024000,1-4,6,0.69
mongodb,1024000,1-4,7,0.677
mongodb,1024000,1-4,8,0.681
mongodb,1024000,1-4,9,0.657
mongodb,1024000,1-4,10,0.629
mongodb,1024000,1-4,11,0.687
mongodb,1024000,1-4,12,0.667
mongodb,1024000,1-4,13,0.692
mongodb,1024000,1-4,14,0.7
mongodb,1024000,1-4,15,0.678
mongodb,1024000,1-4,16,0.673
mongodb,1024000,1-4,17,0.694
mongodb,1024000,1-4,18,0.672
mongodb,1024000,1-4,19,0.684
mongodb,1024000,2-1,0,0.763
mongodb,1024000,2-1,1,0.688
mongodb,1024000,2-1,2,0.498
mongodb,1024000,2-1,3,0.481
mongodb,1024000,2-1,4,0.498
mongodb,1024000,2-1,5,0.502
mongodb,1024000,2-1,6,0.506
mongodb,1024000,2-1,7,0.494
mongodb,1024000,2-1,8,0.484
mongodb,1024000,2-1,9,0.488
mongodb,1024000,2-1,10,0.49
mongodb,1024000,2-1,11,0.491
mongodb,1024000,2-1,12,0.493
mongodb,1024000,2-1,13,0.481
mongodb,1024000,2-1,14,0.502
mongodb,1024000,2-1,15,0.493
mongodb,1024000,2-1,16,0.491
mongodb,1024000,2-1,17,0.486
mongodb,1024000,2-1,18,0.494
mongodb,1024000,2-1,19,0.503
mongodb,1024000,2-2,0,0.591
mongodb,1024000,2-2,1,0.587
mongodb,1024000,2-2,2,0.797
mongodb,1024000,2-2,3,0.842
mongodb,1024000,2-2,4,0.841
