db,record_volume,query,iteration,time_in_seconds
mongodb,256000,1.1,0,0.399
mongodb,256000,1.1,1,0.102
mongodb,256000,1.1,2,0.108
mongodb,256000,1.1,3,0.108
mongodb,256000,1.1,4,0.107
mongodb,256000,1.1,5,0.108
mongodb,256000,1.1,6,0.102
mongodb,256000,1.1,7,0.104
mongodb,256000,1.1,8,0.096
mongodb,256000,1.1,9,0.093
mongodb,256000,1.1,10,0.096
mongodb,256000,1.1,11,0.094
mongodb,256000,1.1,12,0.1
mongodb,256000,1.1,13,0.097
mongodb,256000,1.1,14,0.095
mongodb,256000,1.1,15,0.095
mongodb,256000,1.1,16,0.104
mongodb,256000,1.1,17,0.102
mongodb,256000,1.1,18,0.102
mongodb,256000,1.1,19,0.102
mongodb,256000,1.2,0,0.236
mongodb,256000,1.2,1,0.107
mongodb,256000,1.2,2,0.104
mongodb,256000,1.2,3,0.103
mongodb,256000,1.2,4,0.103
mongodb,256000,1.2,5,0.103
mongodb,256000,1.2,6,0.103
mongodb,256000,1.2,7,0.103
mongodb,256000,1.2,8,0.103
mongodb,256000,1.2,9,0.103
mongodb,256000,1.2,10,0.103
mongodb,256000,1.2,11,0.103
mongodb,256000,1.2,12,0.104
mongodb,256000,1.2,13,0.115
mongodb,256000,1.2,14,0.111
mongodb,256000,1.2,15,0.104
mongodb,256000,1.2,16,0.109
mongodb,256000,1.2,17,0.101
mongodb,256000,1.2,18,0.102
mongodb,256000,1.2,19,0.101
mongodb,256000,1.3,0,0.005
mongodb,256000,1.3,1,0
mongodb,256000,1.3,2,0
mongodb,256000,1.3,3,0
mongodb,256000,1.3,4,0
mongodb,256000,1.3,5,0
mongodb,256000,1.3,6,0
mongodb,256000,1.3,7,0
mongodb,256000,1.3,8,0
mongodb,256000,1.3,9,0
mongodb,256000,1.3,10,0
mongodb,256000,1.3,11,0
mongodb,256000,1.3,12,0
mongodb,256000,1.3,13,0
mongodb,256000,1.3,14,0
mongodb,256000,1.3,15,0
mongodb,256000,1.3,16,0
mongodb,256000,1.3,17,0
mongodb,256000,1.3,18,0
mongodb,256000,1.3,19,0
mongodb,256000,1.4,0,0.135
mongodb,256000,1.4,1,0.134
mongodb,256000,1.4,2,0.14
mongodb,256000,1.4,3,0.138
mongodb,256000,1.4,4,0.137
mongodb,256000,1.4,5,0.127
mongodb,256000,1.4,6,0.122
mongodb,256000,1.4,7,0.121
mongodb,256000,1.4,8,0.14
mongodb,256000,1.4,9,0.133
mongodb,256000,1.4,10,0.132
mongodb,256000,1.4,11,0.132
mongodb,256000,1.4,12,0.132
mongodb,256000,1.4,13,0.138
mongodb,256000,1.4,14,0.135
mongodb,256000,1.4,15,0.139
mongodb,256000,1.4,16,0.135
mongodb,256000,1.4,17,0.133
mongodb,256000,1.4,18,0.133
mongodb,256000,1.4,19,0.12
mongodb,256000,2.1,0,0.224
mongodb,256000,2.1,1,0.147
mongodb,256000,2.1,2,0.147
mongodb,256000,2.1,3,0.137
mongodb,256000,2.1,4,0.137
mongodb,256000,2.1,5,0.138
mongodb,256000,2.1,6,0.146
mongodb,256000,2.1,7,0.151
mongodb,256000,2.1,8,0.152
mongodb,256000,2.1,9,0.163
mongodb,256000,2.1,10,0.151
mongodb,256000,2.1,11,0.155
mongodb,256000,2.1,12,0.146
mongodb,256000,2.1,13,0.148
mongodb,256000,2.1,14,0.152
mongodb,256000,2.1,15,0.154
mongodb,256000,2.1,16,0.154
mongodb,256000,2.1,17,0.158
mongodb,256000,2.1,18,0.16
mongodb,256000,2.1,19,0.155
mongodb,256000,2.2,0,0.184
mongodb,256000,2.2,1,0.181
mongodb,256000,2.2,2,0.183
mongodb,256000,2.2,3,0.184
mongodb,256000,2.2,4,0.18
mongodb,256000,2.2,5,0.18
mongodb,256000,2.2,6,0.189
mongodb,256000,2.2,7,0.182
mongodb,256000,2.2,8,0.18
mongodb,256000,2.2,9,0.176
mongodb,256000,2.2,10,0.182
mongodb,256000,2.2,11,0.19
mongodb,256000,2.2,12,0.186
mongodb,256000,2.2,13,0.176
mongodb,256000,2.2,14,0.177
mongodb,256000,2.2,15,0.182
mongodb,256000,2.2,16,0.181
mongodb,256000,2.2,17,0.178
mongodb,256000,2.2,18,0.176
mongodb,256000,2.2,19,0.173
mongodb,256000,3.1,-1,-1
mongodb,256000,3.2,0,0.072
mongodb,256000,3.2,1,0.07
mongodb,256000,3.2,2,0.069
mongodb,256000,3.2,3,0.073
mongodb,256000,3.2,4,0.069
mongodb,256000,3.2,5,0.069
mongodb,256000,3.2,6,0.071
mongodb,256000,3.2,7,0.073
mongodb,256000,3.2,8,0.07
mongodb,256000,3.2,9,0.069
mongodb,256000,3.2,10,0.07
mongodb,256000,3.2,11,0.069
mongodb,256000,3.2,12,0.073
mongodb,256000,3.2,13,0.07
mongodb,256000,3.2,14,0.073
mongodb,256000,3.2,15,0.072
mongodb,256000,3.2,16,0.07
mongodb,256000,3.2,17,0.072
mongodb,256000,3.2,18,0.069
mongodb,256000,3.2,19,0.068
mongodb,256000,3.3,-1,-1
mongodb,256000,3.4,0,10.693
mongodb,256000,3.4,1,10.683
mongodb,256000,3.4,2,10.807
mongodb,256000,3.4,3,10.841
