db,record_volume,query,iteration,time_in_seconds
mysql,512000,1-1,1,0.2772
mysql,512000,1-1,2,0.2746
mysql,512000,1-1,3,0.2793
mysql,512000,1-1,4,0.2866
mysql,512000,1-1,5,0.2665
mysql,512000,1-1,6,0.2628
mysql,512000,1-1,7,0.2653
mysql,512000,1-1,8,0.2729
mysql,512000,1-1,9,0.2572
mysql,512000,1-1,10,0.2599
mysql,512000,1-1,11,0.2766
mysql,512000,1-1,12,0.2743
mysql,512000,1-1,13,0.2646
mysql,512000,1-1,14,0.2654
mysql,512000,1-1,15,0.2699
mysql,512000,1-1,16,0.2565
mysql,512000,1-1,17,0.2567
mysql,512000,1-1,18,0.2604
mysql,512000,1-1,19,0.2724
mysql,512000,1-1,20,0.2670
mysql,512000,1-2,1,0.5188
mysql,512000,1-2,2,0.5333
mysql,512000,1-2,3,0.5231
mysql,512000,1-2,4,0.5137
mysql,512000,1-2,5,0.5096
mysql,512000,1-2,6,0.5095
mysql,512000,1-2,7,0.5451
mysql,512000,1-2,8,0.5179
mysql,512000,1-2,9,0.5226
mysql,512000,1-2,10,0.5248
mysql,512000,1-2,11,0.5108
mysql,512000,1-2,12,0.5223
mysql,512000,1-2,13,0.5122
mysql,512000,1-2,14,0.5164
mysql,512000,1-2,15,0.5137
mysql,512000,1-2,16,0.5247
mysql,512000,1-2,17,0.5163
mysql,512000,1-2,18,0.5161
mysql,512000,1-2,19,0.5299
mysql,512000,1-2,20,0.5195
mysql,512000,1-3,1,0.0002
mysql,512000,1-3,2,0.0002
mysql,512000,1-3,3,0.0004
mysql,512000,1-3,4,0.0004
mysql,512000,1-3,5,0.0002
mysql,512000,1-3,6,0.0002
mysql,512000,1-3,7,0.0002
mysql,512000,1-3,8,0.0004
mysql,512000,1-3,9,0.0002
mysql,512000,1-3,10,0.0004
mysql,512000,1-3,11,0.0002
mysql,512000,1-3,12,0.0002
mysql,512000,1-3,13,0.0002
mysql,512000,1-3,14,0.0002
mysql,512000,1-3,15,0.0002
mysql,512000,1-3,16,0.0002
mysql,512000,1-3,17,0.0002
mysql,512000,1-3,18,0.0002
mysql,512000,1-3,19,0.0005
mysql,512000,1-3,20,0.0004
mysql,512000,1-4,1,0.5429
mysql,512000,1-4,2,0.5233
mysql,512000,1-4,3,0.3981
mysql,512000,1-4,4,0.5221
mysql,512000,1-4,5,0.3964
mysql,512000,1-4,6,0.4081
mysql,512000,1-4,7,0.4106
mysql,512000,1-4,8,0.5125
mysql,512000,1-4,9,0.5219
mysql,512000,1-4,10,0.5234
mysql,512000,1-4,11,0.5225
mysql,512000,1-4,12,0.5230
mysql,512000,1-4,13,0.5317
mysql,512000,1-4,14,0.5162
mysql,512000,1-4,15,0.5203
mysql,512000,1-4,16,0.5359
mysql,512000,1-4,17,0.5194
mysql,512000,1-4,18,0.5210
mysql,512000,1-4,19,0.5214
mysql,512000,1-4,20,0.5139
mysql,512000,10,1,3.3390
mysql,512000,10,2,2.4837
mysql,512000,10,3,2.9230
