[2024-04-25 14:16:19] Query testing started
[2024-04-25 14:16:19] Query 1-1, Iteration 1 started
[2024-04-25 14:16:23] Query 1-1, Iteration 1 finished
[2024-04-25 14:16:23] Query 1-1, Iteration 2 started
[2024-04-25 14:16:25] Query 1-1, Iteration 2 finished
[2024-04-25 14:16:25] Query 1-1, Iteration 3 started
[2024-04-25 14:16:27] Query 1-1, Iteration 3 finished
[2024-04-25 14:16:27] Query 1-1, Iteration 4 started
[2024-04-25 14:16:29] Query 1-1, Iteration 4 finished
[2024-04-25 14:16:29] Query 1-1, Iteration 5 started
[2024-04-25 14:16:31] Query 1-1, Iteration 5 finished
[2024-04-25 14:16:31] Query 1-1, Iteration 6 started
[2024-04-25 14:16:33] Query 1-1, Iteration 6 finished
[2024-04-25 14:16:33] Query 1-1, Iteration 7 started
[2024-04-25 14:16:35] Query 1-1, Iteration 7 finished
[2024-04-25 14:16:35] Query 1-1, Iteration 8 started
[2024-04-25 14:16:36] Query 1-1, Iteration 8 finished
[2024-04-25 14:16:36] Query 1-1, Iteration 9 started
[2024-04-25 14:16:38] Query 1-1, Iteration 9 finished
[2024-04-25 14:16:38] Query 1-1, Iteration 10 started
[2024-04-25 14:16:40] Query 1-1, Iteration 10 finished
[2024-04-25 14:16:40] Query 1-1, Iteration 11 started
[2024-04-25 14:16:42] Query 1-1, Iteration 11 finished
[2024-04-25 14:16:42] Query 1-1, Iteration 12 started
[2024-04-25 14:16:44] Query 1-1, Iteration 12 finished
[2024-04-25 14:16:44] Query 1-1, Iteration 13 started
[2024-04-25 14:16:46] Query 1-1, Iteration 13 finished
[2024-04-25 14:16:46] Query 1-1, Iteration 14 started
[2024-04-25 14:16:48] Query 1-1, Iteration 14 finished
[2024-04-25 14:16:48] Query 1-1, Iteration 15 started
[2024-04-25 14:16:49] Query 1-1, Iteration 15 finished
[2024-04-25 14:16:49] Query 1-1, Iteration 16 started
[2024-04-25 14:16:51] Query 1-1, Iteration 16 finished
[2024-04-25 14:16:51] Query 1-1, Iteration 17 started
[2024-04-25 14:16:53] Query 1-1, Iteration 17 finished
[2024-04-25 14:16:53] Query 1-1, Iteration 18 started
[2024-04-25 14:16:55] Query 1-1, Iteration 18 finished
[2024-04-25 14:16:55] Query 1-1, Iteration 19 started
[2024-04-25 14:16:57] Query 1-1, Iteration 19 finished
[2024-04-25 14:16:57] Query 1-1, Iteration 20 started
[2024-04-25 14:16:59] Query 1-1, Iteration 20 finished
[2024-04-25 14:16:59] Query 1-2, Iteration 1 started
[2024-04-25 14:17:01] Query 1-2, Iteration 1 finished
[2024-04-25 14:17:01] Query 1-2, Iteration 2 started
[2024-04-25 14:17:03] Query 1-2, Iteration 2 finished
[2024-04-25 14:17:03] Query 1-2, Iteration 3 started
[2024-04-25 14:17:05] Query 1-2, Iteration 3 finished
[2024-04-25 14:17:05] Query 1-2, Iteration 4 started
[2024-04-25 14:17:07] Query 1-2, Iteration 4 finished
[2024-04-25 14:17:07] Query 1-2, Iteration 5 started
[2024-04-25 14:17:09] Query 1-2, Iteration 5 finished
[2024-04-25 14:17:09] Query 1-2, Iteration 6 started
[2024-04-25 14:17:11] Query 1-2, Iteration 6 finished
[2024-04-25 14:17:11] Query 1-2, Iteration 7 started
[2024-04-25 14:17:14] Query 1-2, Iteration 7 finished
[2024-04-25 14:17:14] Query 1-2, Iteration 8 started
[2024-04-25 14:17:16] Query 1-2, Iteration 8 finished
[2024-04-25 14:17:16] Query 1-2, Iteration 9 started
[2024-04-25 14:17:18] Query 1-2, Iteration 9 finished
[2024-04-25 14:17:18] Query 1-2, Iteration 10 started
[2024-04-25 14:17:20] Query 1-2, Iteration 10 finished
[2024-04-25 14:17:20] Query 1-2, Iteration 11 started
[2024-04-25 14:17:23] Query 1-2, Iteration 11 finished
[2024-04-25 14:17:23] Query 1-2, Iteration 12 started
[2024-04-25 14:17:25] Query 1-2, Iteration 12 finished
[2024-04-25 14:17:25] Query 1-2, Iteration 13 started
[2024-04-25 14:17:27] Query 1-2, Iteration 13 finished
[2024-04-25 14:17:27] Query 1-2, Iteration 14 started
[2024-04-25 14:17:29] Query 1-2, Iteration 14 finished
[2024-04-25 14:17:29] Query 1-2, Iteration 15 started
[2024-04-25 14:17:32] Query 1-2, Iteration 15 finished
[2024-04-25 14:17:32] Query 1-2, Iteration 16 started
[2024-04-25 14:17:34] Query 1-2, Iteration 16 finished
