[2024-04-25 17:56:08] Query testing started
[2024-04-25 17:56:08] Query 8, Iteration 1 started
[2024-04-25 17:56:24] Query 8, Iteration 1 finished
[2024-04-25 17:56:24] Query 8, Iteration 2 started
[2024-04-25 17:56:37] Query 8, Iteration 2 finished
[2024-04-25 17:56:37] Query 8, Iteration 3 started
[2024-04-25 17:56:50] Query 8, Iteration 3 finished
[2024-04-25 17:56:50] Query 8, Iteration 4 started
[2024-04-25 17:57:03] Query 8, Iteration 4 finished
[2024-04-25 17:57:03] Query 8, Iteration 5 started
[2024-04-25 17:57:16] Query 8, Iteration 5 finished
[2024-04-25 17:57:16] Query 8, Iteration 6 started
[2024-04-25 17:57:29] Query 8, Iteration 6 finished
[2024-04-25 17:57:29] Query 8, Iteration 7 started
[2024-04-25 17:57:41] Query 8, Iteration 7 finished
[2024-04-25 17:57:41] Query 8, Iteration 8 started
[2024-04-25 17:57:54] Query 8, Iteration 8 finished
[2024-04-25 17:57:54] Query 8, Iteration 9 started
[2024-04-25 17:58:07] Query 8, Iteration 9 finished
[2024-04-25 17:58:07] Query 8, Iteration 10 started
[2024-04-25 17:58:21] Query 8, Iteration 10 finished
[2024-04-25 17:58:21] Query 8, Iteration 11 started
[2024-04-25 17:58:33] Query 8, Iteration 11 finished
[2024-04-25 17:58:33] Query 8, Iteration 12 started
[2024-04-25 17:58:47] Query 8, Iteration 12 finished
[2024-04-25 17:58:47] Query 8, Iteration 13 started
[2024-04-25 17:59:00] Query 8, Iteration 13 finished
[2024-04-25 17:59:00] Query 8, Iteration 14 started
[2024-04-25 17:59:14] Query 8, Iteration 14 finished
[2024-04-25 17:59:14] Query 8, Iteration 15 started
[2024-04-25 17:59:27] Query 8, Iteration 15 finished
[2024-04-25 17:59:27] Query 8, Iteration 16 started
[2024-04-25 17:59:40] Query 8, Iteration 16 finished
[2024-04-25 17:59:40] Query 8, Iteration 17 started
[2024-04-25 17:59:53] Query 8, Iteration 17 finished
[2024-04-25 17:59:53] Query 8, Iteration 18 started
[2024-04-25 18:00:06] Query 8, Iteration 18 finished
[2024-04-25 18:00:06] Query 8, Iteration 19 started
[2024-04-25 18:00:19] Query 8, Iteration 19 finished
[2024-04-25 18:00:19] Query 8, Iteration 20 started
[2024-04-25 18:00:33] Query 8, Iteration 20 finished
[2024-04-25 18:00:33] Query 9-1, Iteration 1 started
[2024-04-25 18:01:44] Query 9-1, Iteration 1 finished
[2024-04-25 18:01:44] Query 9-1, Iteration 2 started
[2024-04-25 18:02:53] Query 9-1, Iteration 2 finished
[2024-04-25 18:02:53] Query 9-1, Iteration 3 started
[2024-04-25 18:04:02] Query 9-1, Iteration 3 finished
[2024-04-25 18:04:02] Query 9-1, Iteration 4 started
[2024-04-25 18:05:13] Query 9-1, Iteration 4 finished
[2024-04-25 18:05:13] Query 9-1, Iteration 5 started
[2024-04-25 18:06:23] Query 9-1, Iteration 5 finished
[2024-04-25 18:06:23] Query 9-1, Iteration 6 started
[2024-04-25 18:07:34] Query 9-1, Iteration 6 finished
[2024-04-25 18:07:34] Query 9-1, Iteration 7 started
[2024-04-25 18:08:44] Query 9-1, Iteration 7 finished
[2024-04-25 18:08:44] Query 9-1, Iteration 8 started
[2024-04-25 18:09:53] Query 9-1, Iteration 8 finished
[2024-04-25 18:09:53] Query 9-1, Iteration 9 started
[2024-04-25 18:11:04] Query 9-1, Iteration 9 finished
[2024-04-25 18:11:04] Query 9-1, Iteration 10 started
[2024-04-25 18:12:12] Query 9-1, Iteration 10 finished
[2024-04-25 18:12:12] Query 9-1, Iteration 11 started
[2024-04-25 18:13:19] Query 9-1, Iteration 11 finished
[2024-04-25 18:13:19] Query 9-1, Iteration 12 started
[2024-04-25 18:14:28] Query 9-1, Iteration 12 finished
[2024-04-25 18:14:28] Query 9-1, Iteration 13 started
[2024-04-25 18:15:37] Query 9-1, Iteration 13 finished
[2024-04-25 18:15:37] Query 9-1, Iteration 14 started
[2024-04-25 18:16:45] Query 9-1, Iteration 14 finished
[2024-04-25 18:16:45] Query 9-1, Iteration 15 started
[2024-04-25 18:17:55] Query 9-1, Iteration 15 finished
[2024-04-25 18:17:55] Query 9-1, Iteration 16 started
[2024-04-25 18:19:04] Query 9-1, Iteration 16 finished
[2024-04-25 18:19:04] Query 9-1, Iteration 17 started
[2024-04-25 18:20:12] Query 9-1, Iteration 17 finished
[2024-04-25 18:20:12] Query 9-1, Iteration 18 started
[2024-04-25 18:21:19] Query 9-1, Iteration 18 finished
[2024-04-25 18:21:19] Query 9-1, Iteration 19 started
[2024-04-25 18:22:27] Query 9-1, Iteration 19 finished
[2024-04-25 18:22:27] Query 9-1, Iteration 20 started
[2024-04-25 18:23:34] Query 9-1, Iteration 20 finished
[2024-04-25 18:23:34] Query 9-2, Iteration 1 started
[2024-04-25 18:24:44] Query 9-2, Iteration 1 finished
[2024-04-25 18:24:44] Query 9-2, Iteration 2 started
[2024-04-25 18:25:53] Query 9-2, Iteration 2 finished
[2024-04-25 18:25:53] Query 9-2, Iteration 3 started
[2024-04-25 18:27:00] Query 9-2, Iteration 3 finished
[2024-04-25 18:27:00] Query 9-2, Iteration 4 started
[2024-04-25 18:28:08] Query 9-2, Iteration 4 finished
[2024-04-25 18:28:08] Query 9-2, Iteration 5 started
[2024-04-25 18:29:18] Query 9-2, Iteration 5 finished
[2024-04-25 18:29:18] Query 9-2, Iteration 6 started
[2024-04-25 18:30:26] Query 9-2, Iteration 6 finished
[2024-04-25 18:30:26] Query 9-2, Iteration 7 started
[2024-04-25 18:31:33] Query 9-2, Iteration 7 finished
[2024-04-25 18:31:33] Query 9-2, Iteration 8 started
[2024-04-25 18:32:41] Query 9-2, Iteration 8 finished
[2024-04-25 18:32:41] Query 9-2, Iteration 9 started
[2024-04-25 18:33:47] Query 9-2, Iteration 9 finished
[2024-04-25 18:33:47] Query 9-2, Iteration 10 started
[2024-04-25 18:34:57] Query 9-2, Iteration 10 finished
[2024-04-25 18:34:57] Query 9-2, Iteration 11 started
[2024-04-25 18:36:05] Query 9-2, Iteration 11 finished
[2024-04-25 18:36:05] Query 9-2, Iteration 12 started
[2024-04-25 18:37:11] Query 9-2, Iteration 12 finished
[2024-04-25 18:37:11] Query 9-2, Iteration 13 started
[2024-04-25 18:38:19] Query 9-2, Iteration 13 finished
[2024-04-25 18:38:19] Query 9-2, Iteration 14 started
[2024-04-25 18:39:27] Query 9-2, Iteration 14 finished
[2024-04-25 18:39:27] Query 9-2, Iteration 15 started
[2024-04-25 18:40:35] Query 9-2, Iteration 15 finished
[2024-04-25 18:40:35] Query 9-2, Iteration 16 started
[2024-04-25 18:41:43] Query 9-2, Iteration 16 finished
[2024-04-25 18:41:43] Query 9-2, Iteration 17 started
[2024-04-25 18:42:49] Query 9-2, Iteration 17 finished
[2024-04-25 18:42:49] Query 9-2, Iteration 18 started
[2024-04-25 18:43:56] Query 9-2, Iteration 18 finished
[2024-04-25 18:43:56] Query 9-2, Iteration 19 started
[2024-04-25 18:45:03] Query 9-2, Iteration 19 finished
[2024-04-25 18:45:03] Query 9-2, Iteration 20 started
[2024-04-25 18:46:10] Query 9-2, Iteration 20 finished
[2024-04-25 18:46:10] Query testing finished
