db,record_volume,query,iteration,time_in_seconds
neo4j,1024000,8,1,8.055
neo4j,1024000,8,2,6.662
neo4j,1024000,8,3,6.532
neo4j,1024000,8,4,6.756
neo4j,1024000,8,5,6.789
neo4j,1024000,8,6,6.387
neo4j,1024000,8,7,6.786
neo4j,1024000,8,8,6.793
neo4j,1024000,8,9,6.673
neo4j,1024000,8,10,6.699
neo4j,1024000,8,11,6.7
neo4j,1024000,8,12,7.027
neo4j,1024000,8,13,6.604
neo4j,1024000,8,14,7.238
neo4j,1024000,8,15,6.902
neo4j,1024000,8,16,6.539
neo4j,1024000,8,17,6.482
neo4j,1024000,8,18,6.782
neo4j,1024000,8,19,6.668
neo4j,1024000,8,20,7.172
neo4j,1024000,9-1,1,2.211
neo4j,1024000,9-1,2,2.413
neo4j,1024000,9-1,3,2.358
neo4j,1024000,9-1,4,2.315
neo4j,1024000,9-1,5,2.132
neo4j,1024000,9-1,6,2.079
neo4j,1024000,9-1,7,2.329
neo4j,1024000,9-1,8,2.289
neo4j,1024000,9-1,9,2.312
neo4j,1024000,9-1,10,2.329
neo4j,1024000,9-1,11,2.097
neo4j,1024000,9-1,12,2.115
neo4j,1024000,9-1,13,2.328
neo4j,1024000,9-1,14,2.351
neo4j,1024000,9-1,15,2.328
neo4j,1024000,9-1,16,2.379
neo4j,1024000,9-1,17,2.084
neo4j,1024000,9-1,18,2.007
neo4j,1024000,9-1,19,2.059
neo4j,1024000,9-1,20,2.078
neo4j,1024000,9-2,1,1.034
neo4j,1024000,9-2,2,0.854
neo4j,1024000,9-2,3,0.77
neo4j,1024000,9-2,4,0.732
neo4j,1024000,9-2,5,0.787
neo4j,1024000,9-2,6,0.839
neo4j,1024000,9-2,7,0.819
neo4j,1024000,9-2,8,0.776
neo4j,1024000,9-2,9,0.812
neo4j,1024000,9-2,10,0.74
neo4j,1024000,9-2,11,0.817
neo4j,1024000,9-2,12,0.935
neo4j,1024000,9-2,13,0.85
neo4j,1024000,9-2,14,0.84
neo4j,1024000,9-2,15,0.788
neo4j,1024000,9-2,16,0.834
neo4j,1024000,9-2,17,0.872
neo4j,1024000,9-2,18,0.771
neo4j,1024000,9-2,19,0.751
neo4j,1024000,9-2,20,0.823
