[2024-04-01 10:23:22] Query testing started
[2024-04-01 10:23:22] Query 1-1, Iteration 1 started
[2024-04-01 10:23:27] Query 1-1, Iteration 1 finished
[2024-04-01 10:23:27] Query 1-1, Iteration 2 started
[2024-04-01 10:23:29] Query 1-1, Iteration 2 finished
[2024-04-01 10:23:29] Query 1-1, Iteration 3 started
[2024-04-01 10:23:31] Query 1-1, Iteration 3 finished
[2024-04-01 10:23:31] Query 1-1, Iteration 4 started
[2024-04-01 10:23:33] Query 1-1, Iteration 4 finished
[2024-04-01 10:23:33] Query 1-1, Iteration 5 started
[2024-04-01 10:23:35] Query 1-1, Iteration 5 finished
[2024-04-01 10:23:35] Query 1-1, Iteration 6 started
[2024-04-01 10:23:37] Query 1-1, Iteration 6 finished
[2024-04-01 10:23:37] Query 1-1, Iteration 7 started
[2024-04-01 10:23:39] Query 1-1, Iteration 7 finished
[2024-04-01 10:23:39] Query 1-1, Iteration 8 started
[2024-04-01 10:23:41] Query 1-1, Iteration 8 finished
[2024-04-01 10:23:41] Query 1-1, Iteration 9 started
[2024-04-01 10:23:43] Query 1-1, Iteration 9 finished
[2024-04-01 10:23:43] Query 1-1, Iteration 10 started
[2024-04-01 10:23:45] Query 1-1, Iteration 10 finished
[2024-04-01 10:23:45] Query 1-1, Iteration 11 started
[2024-04-01 10:23:47] Query 1-1, Iteration 11 finished
[2024-04-01 10:23:47] Query 1-1, Iteration 12 started
[2024-04-01 10:23:49] Query 1-1, Iteration 12 finished
[2024-04-01 10:23:49] Query 1-1, Iteration 13 started
[2024-04-01 10:23:51] Query 1-1, Iteration 13 finished
[2024-04-01 10:23:51] Query 1-1, Iteration 14 started
[2024-04-01 10:23:53] Query 1-1, Iteration 14 finished
[2024-04-01 10:23:53] Query 1-1, Iteration 15 started
[2024-04-01 10:23:55] Query 1-1, Iteration 15 finished
[2024-04-01 10:23:55] Query 1-1, Iteration 16 started
[2024-04-01 10:23:57] Query 1-1, Iteration 16 finished
[2024-04-01 10:23:57] Query 1-1, Iteration 17 started
[2024-04-01 10:23:59] Query 1-1, Iteration 17 finished
[2024-04-01 10:23:59] Query 1-1, Iteration 18 started
[2024-04-01 10:24:01] Query 1-1, Iteration 18 finished
[2024-04-01 10:24:01] Query 1-1, Iteration 19 started
