[2024-04-01 20:39:23] Query testing started
[2024-04-01 20:39:23] Query 8, Iteration 1 started
[2024-04-01 20:39:41] Query 8, Iteration 1 finished
[2024-04-01 20:39:41] Query 8, Iteration 2 started
[2024-04-01 20:39:54] Query 8, Iteration 2 finished
[2024-04-01 20:39:54] Query 8, Iteration 3 started
[2024-04-01 20:40:08] Query 8, Iteration 3 finished
[2024-04-01 20:40:08] Query 8, Iteration 4 started
[2024-04-01 20:40:21] Query 8, Iteration 4 finished
[2024-04-01 20:40:21] Query 8, Iteration 5 started
[2024-04-01 20:40:35] Query 8, Iteration 5 finished
[2024-04-01 20:40:35] Query 8, Iteration 6 started
[2024-04-01 20:40:48] Query 8, Iteration 6 finished
[2024-04-01 20:40:48] Query 8, Iteration 7 started
[2024-04-01 20:41:01] Query 8, Iteration 7 finished
[2024-04-01 20:41:01] Query 8, Iteration 8 started
[2024-04-01 20:41:15] Query 8, Iteration 8 finished
[2024-04-01 20:41:15] Query 8, Iteration 9 started
[2024-04-01 20:41:29] Query 8, Iteration 9 finished
[2024-04-01 20:41:29] Query 8, Iteration 10 started
[2024-04-01 20:41:42] Query 8, Iteration 10 finished
[2024-04-01 20:41:42] Query 8, Iteration 11 started
[2024-04-01 20:41:56] Query 8, Iteration 11 finished
[2024-04-01 20:41:56] Query 8, Iteration 12 started
[2024-04-01 20:42:08] Query 8, Iteration 12 finished
[2024-04-01 20:42:08] Query 8, Iteration 13 started
[2024-04-01 20:42:22] Query 8, Iteration 13 finished
[2024-04-01 20:42:22] Query 8, Iteration 14 started
[2024-04-01 20:42:35] Query 8, Iteration 14 finished
[2024-04-01 20:42:35] Query 8, Iteration 15 started
[2024-04-01 20:42:48] Query 8, Iteration 15 finished
[2024-04-01 20:42:48] Query 8, Iteration 16 started
[2024-04-01 20:43:01] Query 8, Iteration 16 finished
[2024-04-01 20:43:01] Query 8, Iteration 17 started
[2024-04-01 20:43:16] Query 8, Iteration 17 finished
[2024-04-01 20:43:16] Query 8, Iteration 18 started
[2024-04-01 20:43:31] Query 8, Iteration 18 finished
[2024-04-01 20:43:31] Query 8, Iteration 19 started
[2024-04-01 20:43:44] Query 8, Iteration 19 finished
[2024-04-01 20:43:44] Query 8, Iteration 20 started
[2024-04-01 20:43:57] Query 8, Iteration 20 finished
[2024-04-01 20:43:57] Query 9-1, Iteration 1 started
[2024-04-01 20:44:34] Query 9-1, Iteration 1 finished
[2024-04-01 20:44:34] Query 9-1, Iteration 2 started
[2024-04-01 20:45:08] Query 9-1, Iteration 2 finished
[2024-04-01 20:45:08] Query 9-1, Iteration 3 started
[2024-04-01 20:45:43] Query 9-1, Iteration 3 finished
[2024-04-01 20:45:43] Query 9-1, Iteration 4 started
[2024-04-01 20:46:16] Query 9-1, Iteration 4 finished
[2024-04-01 20:46:16] Query 9-1, Iteration 5 started
[2024-04-01 20:46:52] Query 9-1, Iteration 5 finished
[2024-04-01 20:46:52] Query 9-1, Iteration 6 started
[2024-04-01 20:47:26] Query 9-1, Iteration 6 finished
[2024-04-01 20:47:26] Query 9-1, Iteration 7 started
[2024-04-01 20:48:02] Query 9-1, Iteration 7 finished
[2024-04-01 20:48:02] Query 9-1, Iteration 8 started
[2024-04-01 20:48:38] Query 9-1, Iteration 8 finished
[2024-04-01 20:48:38] Query 9-1, Iteration 9 started
[2024-04-01 20:49:12] Query 9-1, Iteration 9 finished
[2024-04-01 20:49:12] Query 9-1, Iteration 10 started
[2024-04-01 20:49:47] Query 9-1, Iteration 10 finished
[2024-04-01 20:49:47] Query 9-1, Iteration 11 started
[2024-04-01 20:50:21] Query 9-1, Iteration 11 finished
[2024-04-01 20:50:21] Query 9-1, Iteration 12 started
[2024-04-01 20:50:55] Query 9-1, Iteration 12 finished
[2024-04-01 20:50:55] Query 9-1, Iteration 13 started
[2024-04-01 20:51:28] Query 9-1, Iteration 13 finished
[2024-04-01 20:51:28] Query 9-1, Iteration 14 started
[2024-04-01 20:52:04] Query 9-1, Iteration 14 finished
[2024-04-01 20:52:04] Query 9-1, Iteration 15 started
[2024-04-01 20:52:38] Query 9-1, Iteration 15 finished
[2024-04-01 20:52:38] Query 9-1, Iteration 16 started
[2024-04-01 20:53:11] Query 9-1, Iteration 16 finished
[2024-04-01 20:53:11] Query 9-1, Iteration 17 started
[2024-04-01 20:53:46] Query 9-1, Iteration 17 finished
[2024-04-01 20:53:46] Query 9-1, Iteration 18 started
[2024-04-01 20:54:19] Query 9-1, Iteration 18 finished
[2024-04-01 20:54:19] Query 9-1, Iteration 19 started
[2024-04-01 20:54:54] Query 9-1, Iteration 19 finished
[2024-04-01 20:54:54] Query 9-1, Iteration 20 started
[2024-04-01 20:55:29] Query 9-1, Iteration 20 finished
[2024-04-01 20:55:29] Query 9-2, Iteration 1 started
[2024-04-01 20:56:04] Query 9-2, Iteration 1 finished
[2024-04-01 20:56:04] Query 9-2, Iteration 2 started
[2024-04-01 20:56:41] Query 9-2, Iteration 2 finished
[2024-04-01 20:56:41] Query 9-2, Iteration 3 started
[2024-04-01 20:57:17] Query 9-2, Iteration 3 finished
[2024-04-01 20:57:17] Query 9-2, Iteration 4 started
[2024-04-01 20:57:50] Query 9-2, Iteration 4 finished
[2024-04-01 20:57:50] Query 9-2, Iteration 5 started
[2024-04-01 20:58:24] Query 9-2, Iteration 5 finished
[2024-04-01 20:58:24] Query 9-2, Iteration 6 started
[2024-04-01 20:59:00] Query 9-2, Iteration 6 finished
[2024-04-01 20:59:00] Query 9-2, Iteration 7 started
[2024-04-01 20:59:35] Query 9-2, Iteration 7 finished
[2024-04-01 20:59:35] Query 9-2, Iteration 8 started
[2024-04-01 21:00:09] Query 9-2, Iteration 8 finished
[2024-04-01 21:00:09] Query 9-2, Iteration 9 started
[2024-04-01 21:00:44] Query 9-2, Iteration 9 finished
[2024-04-01 21:00:44] Query 9-2, Iteration 10 started
[2024-04-01 21:01:22] Query 9-2, Iteration 10 finished
[2024-04-01 21:01:22] Query 9-2, Iteration 11 started
[2024-04-01 21:01:57] Query 9-2, Iteration 11 finished
[2024-04-01 21:01:57] Query 9-2, Iteration 12 started
[2024-04-01 21:02:30] Query 9-2, Iteration 12 finished
[2024-04-01 21:02:30] Query 9-2, Iteration 13 started
[2024-04-01 21:03:07] Query 9-2, Iteration 13 finished
[2024-04-01 21:03:07] Query 9-2, Iteration 14 started
[2024-04-01 21:03:41] Query 9-2, Iteration 14 finished
[2024-04-01 21:03:41] Query 9-2, Iteration 15 started
[2024-04-01 21:04:14] Query 9-2, Iteration 15 finished
[2024-04-01 21:04:14] Query 9-2, Iteration 16 started
[2024-04-01 21:04:49] Query 9-2, Iteration 16 finished
[2024-04-01 21:04:49] Query 9-2, Iteration 17 started
[2024-04-01 21:05:25] Query 9-2, Iteration 17 finished
[2024-04-01 21:05:25] Query 9-2, Iteration 18 started
[2024-04-01 21:06:01] Query 9-2, Iteration 18 finished
[2024-04-01 21:06:01] Query 9-2, Iteration 19 started
[2024-04-01 21:06:40] Query 9-2, Iteration 19 finished
[2024-04-01 21:06:40] Query 9-2, Iteration 20 started
[2024-04-01 21:07:17] Query 9-2, Iteration 20 finished
[2024-04-01 21:07:17] Query testing finished
