db,record_volume,query,iteration,time_in_seconds
neo4j,512000,8,1,4.644
neo4j,512000,8,2,3.264
neo4j,512000,8,3,3.071
neo4j,512000,8,4,3.18
neo4j,512000,8,5,3.298
neo4j,512000,8,6,3.001
neo4j,512000,8,7,3.013
neo4j,512000,8,8,3.337
neo4j,512000,8,9,3.052
neo4j,512000,8,10,3.255
neo4j,512000,8,11,3.094
neo4j,512000,8,12,3.267
neo4j,512000,8,13,3.152
neo4j,512000,8,14,3.355
neo4j,512000,8,15,3.15
neo4j,512000,8,16,3.258
neo4j,512000,8,17,3.387
neo4j,512000,8,18,3.381
neo4j,512000,8,19,3.252
neo4j,512000,8,20,3.409
neo4j,512000,9-1,1,1.373
neo4j,512000,9-1,2,1.059
neo4j,512000,9-1,3,1.051
neo4j,512000,9-1,4,1.226
neo4j,512000,9-1,5,1.088
neo4j,512000,9-1,6,1.15
neo4j,512000,9-1,7,1.266
neo4j,512000,9-1,8,1.166
neo4j,512000,9-1,9,1.207
neo4j,512000,9-1,10,1.285
neo4j,512000,9-1,11,1.156
neo4j,512000,9-1,12,1.312
neo4j,512000,9-1,13,1.146
neo4j,512000,9-1,14,1.21
neo4j,512000,9-1,15,1.148
neo4j,512000,9-1,16,1.197
neo4j,512000,9-1,17,1.131
neo4j,512000,9-1,18,1.144
neo4j,512000,9-1,19,1.26
neo4j,512000,9-1,20,1.16
neo4j,512000,9-2,1,0.572
neo4j,512000,9-2,2,0.456
neo4j,512000,9-2,3,0.474
neo4j,512000,9-2,4,0.411
neo4j,512000,9-2,5,0.429
neo4j,512000,9-2,6,0.595
neo4j,512000,9-2,7,0.489
neo4j,512000,9-2,8,0.43
neo4j,512000,9-2,9,0.533
neo4j,512000,9-2,10,0.445
neo4j,512000,9-2,11,0.482
neo4j,512000,9-2,12,0.435
neo4j,512000,9-2,13,0.503
neo4j,512000,9-2,14,0.477
neo4j,512000,9-2,15,0.489
neo4j,512000,9-2,16,0.506
neo4j,512000,9-2,17,0.435
neo4j,512000,9-2,18,0.44
neo4j,512000,9-2,19,0.496
neo4j,512000,9-2,20,0.483
