db,record_volume,query,iteration,time_in_seconds
sqlite,128000,1-1,1,0.257
sqlite,128000,1-1,2,0.017
sqlite,128000,1-1,3,0.023
sqlite,128000,1-1,4,0.021
sqlite,128000,1-1,5,0.020
sqlite,128000,1-1,6,0.019
sqlite,128000,1-1,7,0.019
sqlite,128000,1-1,8,0.021
sqlite,128000,1-1,9,0.019
sqlite,128000,1-1,10,0.019
sqlite,128000,1-1,11,0.018
sqlite,128000,1-1,12,0.018
sqlite,128000,1-1,13,0.019
sqlite,128000,1-1,14,0.018
sqlite,128000,1-1,15,0.019
sqlite,128000,1-1,16,0.019
sqlite,128000,1-1,17,0.020
sqlite,128000,1-1,18,0.016
sqlite,128000,1-1,19,0.020
sqlite,128000,1-1,20,0.019
sqlite,128000,1-2,1,0.625
sqlite,128000,1-2,2,0.054
sqlite,128000,1-2,3,0.055
sqlite,128000,1-2,4,0.055
sqlite,128000,1-2,5,0.057
sqlite,128000,1-2,6,0.058
sqlite,128000,1-2,7,0.053
sqlite,128000,1-2,8,0.052
sqlite,128000,1-2,9,0.052
sqlite,128000,1-2,10,0.052
sqlite,128000,1-2,11,0.052
sqlite,128000,1-2,12,0.053
sqlite,128000,1-2,13,0.053
sqlite,128000,1-2,14,0.052
sqlite,128000,1-2,15,0.052
sqlite,128000,1-2,16,0.053
sqlite,128000,1-2,17,0.053
sqlite,128000,1-2,18,0.053
sqlite,128000,1-2,19,0.052
sqlite,128000,1-2,20,0.052
sqlite,128000,1-3,1,0.000
sqlite,128000,1-3,2,0.000
sqlite,128000,1-3,3,0.000
sqlite,128000,1-3,4,0.000
sqlite,128000,1-3,5,0.000
sqlite,128000,1-3,6,0.000
sqlite,128000,1-3,7,0.001
sqlite,128000,1-3,8,0.001
sqlite,128000,1-3,9,0.001
sqlite,128000,1-3,10,0.000
sqlite,128000,1-3,11,0.000
sqlite,128000,1-3,12,0.001
sqlite,128000,1-3,13,0.000
sqlite,128000,1-3,14,0.001
sqlite,128000,1-3,15,0.000
sqlite,128000,1-3,16,0.000
sqlite,128000,1-3,17,0.000
sqlite,128000,1-3,18,0.000
sqlite,128000,1-3,19,0.000
sqlite,128000,1-3,20,0.000
sqlite,128000,1-4,1,0.068
sqlite,128000,1-4,2,0.068
sqlite,128000,1-4,3,0.070
sqlite,128000,1-4,4,0.072
sqlite,128000,1-4,5,0.070
sqlite,128000,1-4,6,0.054
sqlite,128000,1-4,7,0.070
sqlite,128000,1-4,8,0.069
sqlite,128000,1-4,9,0.069
sqlite,128000,1-4,10,0.069
sqlite,128000,1-4,11,0.055
sqlite,128000,1-4,12,0.069
sqlite,128000,1-4,13,0.069
sqlite,128000,1-4,14,0.069
sqlite,128000,1-4,15,0.066
sqlite,128000,1-4,16,0.069
sqlite,128000,1-4,17,0.069
sqlite,128000,1-4,18,0.054
sqlite,128000,1-4,19,0.069
sqlite,128000,1-4,20,0.055
sqlite,128000,10,1,1.178
sqlite,128000,10,2,1.006
sqlite,128000,10,3,0.962
sqlite,128000,10,4,0.866
sqlite,128000,10,5,1.004
sqlite,128000,10,6,0.780
sqlite,128000,10,7,0.785
sqlite,128000,10,8,0.800
sqlite,128000,10,9,0.902
sqlite,128000,10,10,0.784
sqlite,128000,10,11,0.785
sqlite,128000,10,12,1.002
sqlite,128000,10,13,0.821
sqlite,128000,10,14,0.784
sqlite,128000,10,15,1.013
sqlite,128000,10,16,0.783
sqlite,128000,10,17,0.874
sqlite,128000,10,18,0.782
sqlite,128000,10,19,0.793
sqlite,128000,10,20,0.831
sqlite,128000,11,1,0.206
sqlite,128000,11,2,0.129
sqlite,128000,11,3,0.098
sqlite,128000,11,4,0.128
sqlite,128000,11,5,0.128
sqlite,128000,11,6,0.105
sqlite,128000,11,7,0.098
sqlite,128000,11,8,0.128
sqlite,128000,11,9,0.128
sqlite,128000,11,10,0.128
sqlite,128000,11,11,0.138
sqlite,128000,11,12,0.100
sqlite,128000,11,13,0.128
sqlite,128000,11,14,0.129
sqlite,128000,11,15,0.098
sqlite,128000,11,16,0.128
sqlite,128000,11,17,0.128
sqlite,128000,11,18,0.128
sqlite,128000,11,19,0.129
sqlite,128000,11,20,0.099
sqlite,128000,2-1,1,0.118
sqlite,128000,2-1,2,0.117
sqlite,128000,2-1,3,0.118
sqlite,128000,2-1,4,0.118
sqlite,128000,2-1,5,0.118
sqlite,128000,2-1,6,0.117
sqlite,128000,2-1,7,0.117
