db,record_volume,query,iteration,time_in_seconds
sqlite,1024000,1-1,1,0.132
sqlite,1024000,1-1,2,0.129
sqlite,1024000,1-1,3,0.129
sqlite,1024000,1-1,4,0.130
sqlite,1024000,1-1,5,0.128
sqlite,1024000,1-1,6,0.133
sqlite,1024000,1-1,7,0.130
sqlite,1024000,1-1,8,0.128
sqlite,1024000,1-1,9,0.135
sqlite,1024000,1-1,10,0.133
sqlite,1024000,1-1,11,0.132
sqlite,1024000,1-1,12,0.127
sqlite,1024000,1-1,13,0.129
sqlite,1024000,1-1,14,0.134
sqlite,1024000,1-1,15,0.131
sqlite,1024000,1-1,16,0.135
sqlite,1024000,1-1,17,0.128
sqlite,1024000,1-1,18,0.128
sqlite,1024000,1-1,19,0.130
sqlite,1024000,1-1,20,0.126
sqlite,1024000,1-2,1,0.443
sqlite,1024000,1-2,2,0.433
sqlite,1024000,1-2,3,0.422
sqlite,1024000,1-2,4,0.436
sqlite,1024000,1-2,5,0.432
sqlite,1024000,1-2,6,0.431
sqlite,1024000,1-2,7,0.437
sqlite,1024000,1-2,8,0.432
sqlite,1024000,1-2,9,0.433
sqlite,1024000,1-2,10,0.435
sqlite,1024000,1-2,11,0.434
sqlite,1024000,1-2,12,0.429
sqlite,1024000,1-2,13,0.438
sqlite,1024000,1-2,14,0.441
sqlite,1024000,1-2,15,0.436
sqlite,1024000,1-2,16,0.431
sqlite,1024000,1-2,17,0.436
sqlite,1024000,1-2,18,0.435
sqlite,1024000,1-2,19,0.435
sqlite,1024000,1-2,20,0.434
sqlite,1024000,1-3,1,0.001
sqlite,1024000,1-3,2,0.000
sqlite,1024000,1-3,3,0.001
sqlite,1024000,1-3,4,0.000
sqlite,1024000,1-3,5,0.000
sqlite,1024000,1-3,6,0.001
sqlite,1024000,1-3,7,0.000
sqlite,1024000,1-3,8,0.000
sqlite,1024000,1-3,9,0.000
sqlite,1024000,1-3,10,0.000
sqlite,1024000,1-3,11,0.001
sqlite,1024000,1-3,12,0.001
sqlite,1024000,1-3,13,0.001
sqlite,1024000,1-3,14,0.001
sqlite,1024000,1-3,15,0.000
sqlite,1024000,1-3,16,0.000
sqlite,1024000,1-3,17,0.001
sqlite,1024000,1-3,18,0.000
sqlite,1024000,1-3,19,0.000
sqlite,1024000,1-3,20,0.001
sqlite,1024000,1-4,1,0.845
sqlite,1024000,1-4,2,0.818
sqlite,1024000,1-4,3,0.811
sqlite,1024000,1-4,4,0.846
sqlite,1024000,1-4,5,0.805
sqlite,1024000,1-4,6,0.818
sqlite,1024000,1-4,7,0.814
sqlite,1024000,1-4,8,0.799
sqlite,1024000,1-4,9,0.788
sqlite,1024000,1-4,10,0.789
sqlite,1024000,1-4,11,0.831
sqlite,1024000,1-4,12,0.833
sqlite,1024000,1-4,13,0.803
sqlite,1024000,1-4,14,0.822
sqlite,1024000,1-4,15,0.830
sqlite,1024000,1-4,16,0.787
sqlite,1024000,1-4,17,0.802
sqlite,1024000,1-4,18,0.794
sqlite,1024000,1-4,19,0.815
sqlite,1024000,1-4,20,0.816
sqlite,1024000,10,1,1.789
sqlite,1024000,10,2,1.801
sqlite,1024000,10,3,1.798
sqlite,1024000,10,4,1.815
sqlite,1024000,10,5,1.827
sqlite,1024000,10,6,1.800
sqlite,1024000,10,7,1.821
sqlite,1024000,10,8,1.793
sqlite,1024000,10,9,1.801
sqlite,1024000,10,10,1.790
sqlite,1024000,10,11,1.809
sqlite,1024000,10,12,1.805
sqlite,1024000,10,13,1.790
sqlite,1024000,10,14,1.803
sqlite,1024000,10,15,1.790
sqlite,1024000,10,16,1.787
sqlite,1024000,10,17,1.805
sqlite,1024000,10,18,1.782
sqlite,1024000,10,19,1.789
sqlite,1024000,10,20,1.795
sqlite,1024000,11,1,1.397
sqlite,1024000,11,2,1.692
sqlite,1024000,11,3,1.678
sqlite,1024000,11,4,1.740
sqlite,1024000,11,5,1.683
sqlite,1024000,11,6,1.673
sqlite,1024000,11,7,1.676
sqlite,1024000,11,8,1.700
sqlite,1024000,11,9,1.691
sqlite,1024000,11,10,1.680
sqlite,1024000,11,11,1.683
sqlite,1024000,11,12,1.689
sqlite,1024000,11,13,1.678
sqlite,1024000,11,14,1.693
sqlite,1024000,11,15,1.705
sqlite,1024000,11,16,1.693
sqlite,1024000,11,17,1.680
sqlite,1024000,11,18,1.678
sqlite,1024000,11,19,1.691
sqlite,1024000,11,20,1.690
sqlite,1024000,2-1,1,1.179
sqlite,1024000,2-1,2,1.190
sqlite,1024000,2-1,3,1.188
sqlite,1024000,2-1,4,1.174
sqlite,1024000,2-1,5,1.181
